"Manche de la Coupe de France National 2 Slalom - 22300 Lannion - Finale - 2020-02-23","Finale","2020-02-23","Nationale 2","176"
"Julien Dosse","K1H","122.21","289.75","310.64","Finale A"
"Fabien Le Nechet","K1H","125.74","223.16","348.96","Finale A"
"Titouan Castryck","K1H","156.84","155.94","686.56","Finale A"
"Erwan Rouch","K1H","182.13","253.08","961.08","Finale A"
"Nicolas Mevel","K1H","228.11","216.87","1460.2","Finale A"
"Kilian Foulon","K1H","Abs","-","-","Finale A"
"Louna Beurel","C1D","180.99","350.96","626.26","Finale B"
"Elise Vegnaduzzo","C1D","190.3","561.57","710.48","Finale B"
"Chloe Gatuingt","C1D","262.55","541.83","1364.05","Finale B"
"Adele Charlaigre","C1D","Abd","-","-","Finale B"
"Matheo Lebaindre","C1H","127.57","295.12","307.88","Finale B"
"Mathis Piepho","C1H","128.91","313.42","321.73","Finale B"
"Etienne Nardeau","C1H","132.1","419.65","354.72","Finale B"
"Philippe Quemerais","C1H","136.32","413.17","398.35","Finale B"
"Virgile Bourlet De La Vallee","C1H","136.7","409.85","402.27","Finale B"
"Lubin Huet","C1H","138.35","330.17","419.33","Finale B"
"Julien Fougeron","C1H","141.14","408.85","448.17","Finale B"
"Quentin Angot","C1H","155.27","493.46","594.25","Finale B"
"Yoann Bizot","C1H","160.97","433.67","653.18","Finale B"
"Antoine Martin","C1H","171.19","434.55","758.84","Finale B"
"Lorin Dumont","C1H","205.97","391.04","1118.4","Finale B"
"Riwal Le Berre","C1H","209.27","462.6","1152.52","Finale B"
"Axel Colin","C1H","260.12","432.85","1678.21","Finale B"
"Charley Sannier Durand","C1H","344.68","369.22","2552.41","Finale B"
"Jeanmichel Regnier","C1H","507.14","434.62","4231.94","Finale B"
"Hugo Baillet-Thibaut Evrard","C2H","177.67","800.52","742.34","Finale B"
"Romain Bruneau-Estephe Decarsin","C2H","179.39","651.95","759.31","Finale B"
"Edouard Gracias-Teddy Poulard","C2H","284.47","1893.56","1796.27","Finale B"
"Anais Bernardy","K1D","137.26","213.19","307.6","Finale B"
"Amaurie Guilleret","K1D","138.32","264.63","317.78","Finale B"
"Eva Marchand","K1D","138.47","242.84","319.23","Finale B"
"Emilie Chamouleau","K1D","151.27","343.91","442.18","Finale B"
"Nina Pesce-roue","K1D","152.33","425.67","452.36","Finale B"
"Charlotte Chauvey","K1D","152.89","473.44","457.75","Finale B"
"Maela Le Corre","K1D","155.57","341.19","483.5","Finale B"
"Romane Bronchet","K1D","155.92","337.45","486.85","Finale B"
"Jessica Joyau","K1D","161.16","894.66","537.19","Finale B"
"Pauline Clerc","K1D","161.21","404.84","537.67","Finale B"
"Souhayla Khattabi","K1D","164.99","414.83","573.98","Finale B"
"Alice Bureau","K1D","166.84","428.48","591.75","Finale B"
"Eva Dauvergne","K1D","166.86","498.39","591.95","Finale B"
"CÉlya Foucard","K1D","170.02","442.89","622.3","Finale B"
"Chloe Gatuingt","K1D","172","489.63","641.32","Finale B"
"Louna Beurel","K1D","174.43","379.89","664.67","Finale B"
"Pauline Lybrecht","K1D","174.89","556.42","669.09","Finale B"
"Elise Masseline","K1D","195.29","502.95","865.05","Finale B"
"Julie Dupas","K1D","249.3","348.78","1383.88","Finale B"
"Lison Gautrelet","K1D","261.28","819.8","1498.97","Finale B"
"Alexandra Rochard","K1D","404.34","520.81","2873.24","Finale B"
"Elise Vegnaduzzo","K1D","Abd","-","-","Finale B"
"Anthony Drouhin","K1H","111.84","209.76","203.08","Finale B"
"Romain Guyomard","K1H","111.99","320.48","204.71","Finale B"
"Louison Turmeau","K1H","113.6","163.79","222.18","Finale B"
"Thibaud Collaert","K1H","116.35","313.46","252.03","Finale B"
"Silvere Desongins","K1H","116.6","274","254.75","Finale B"
"Loic Monbel","K1H","117.52","228.79","264.73","Finale B"
"Estephe Decarsin","K1H","118.08","301.7","270.81","Finale B"
"Theo Loury","K1H","118.3","309.3","273.2","Finale B"
"Herve Busson","K1H","118.59","252.33","276.35","Finale B"
"Matheo Dupont","K1H","118.67","298.6","277.22","Finale B"
"Lorin Dumont","K1H","118.98","299.69","280.58","Finale B"
"Pierre Audouin","K1H","119.48","296.5","286.01","Finale B"
"Nathan Flageul","K1H","119.55","280.7","286.77","Finale B"
"Jonas Le Guen","K1H","119.86","364.4","290.13","Finale B"
"Franck Delachair","K1H","120.38","310.78","295.78","Finale B"
"Boris Pernelle","K1H","120.91","279.3","301.53","Finale B"
"Axel Colin","K1H","120.94","303.54","301.86","Finale B"
"Thibaut Evrard","K1H","121.09","300.76","303.49","Finale B"
"Martin Dubois","K1H","121.64","313.91","309.46","Finale B"
"Sebastien De Berchem","K1H","122.35","289.78","317.16","Finale B"
"Thibaud Chevalier","K1H","122.45","390.85","318.25","Finale B"
"Victor Lagleyze","K1H","124.18","289.77","337.03","Finale B"
"Eden Quevremont","K1H","125.7","408.66","353.53","Finale B"
"Maxime Blondeau","K1H","125.79","311.9","354.51","Finale B"
"Anthony Mottais","K1H","126.3","328.06","360.04","Finale B"
"Romain Huguenin","K1H","126.8","310.04","365.47","Finale B"
"Yannis Houze","K1H","126.83","341.51","365.79","Finale B"
"Theo Douady","K1H","127.63","344.42","374.48","Finale B"
"Melvin Queudeville","K1H","128.79","268.6","387.07","Finale B"
"Anthony Rouhier","K1H","129.68","261.85","396.73","Finale B"
"Simon Cognard","K1H","131.49","289.62","416.38","Finale B"
"Jeanmichel Regnier","K1H","132.33","475.94","425.5","Finale B"
"Nathan Huguenin","K1H","133.51","296.14","438.31","Finale B"
"Hugo Pidoux","K1H","133.58","348.02","439.07","Finale B"
"Lucas Correia","K1H","136.52","272.14","470.98","Finale B"
"Baptiste Podor","K1H","149.17","921.66","608.3","Finale B"
"Mewen Debliquy","K1H","163.18","233.51","760.38","Finale B"
"Malo Legrand","K1H","170.23","304.88","836.91","Finale B"
"Alexis Carpentey","K1H","171.28","285.61","848.3","Finale B"
"Youn Aubry","K1H","241.66","635.24","1612.28","Finale B"
