"Sélectif Régional - Vichy - 2012-01-21","Course 2","2012-01-21","Régional","191"
"Alexis Chauville","K1H","123.11","484.97","460.27",""
"Romain Delpui","K1H","130.7","436.71","542.04",""
"Hugo Cailhol","K1H","131.15","8.94","546.89",""
"Ludovic Couture","K1H","134.1","327.83","578.67",""
"Benoit Jacquot-bertrand","K1H","134.98","347.84","588.15",""
"Anselm Arnaud","K1H","135.17","854.55","590.2",""
"Jonathan De Coninck","K1H","135.97","530.69","598.82",""
"Olivier Mercier","K1H","137.39","577.66","614.12",""
"Corentin Mounier","K1H","138.12","537.06","621.98",""
"Josselin Laurain","K1H","138.48","488.9","625.86",""
"Alexandre Ribeaudeau","K1H","141.33","380.82","656.56",""
"Emilien Senneret","K1H","142.42","568.54","668.31",""
"Vincent Froger","K1H","142.98","124.3","674.34",""
"Henri Molet","K1H","150.69","619.39","757.4",""
"Corentin Talancieux","K1H","151.36","266.97","764.62",""
"Quentin Raissac","K1H","155.38","164.56","807.93",""
"Claude Breuzard","K1H","160.49","480.8","862.98",""
"Baptiste Podor","K1H","160.86","338.51","866.96",""
"Nicolas Vaz Da Costa","K1H","164.86","388.73","910.06",""
"Maxence Auvray","K1H","170.57","380.38","971.57",""
"Paulin Cachanado","K1H","172.71","311.72","994.63",""
"Louis Benezit","K1H","176.63","593.58","1036.86",""
"Mathieu Ferreira","K1H","187.52","449.27","1154.18",""
"Kevin Schultz","K1H","189.74","46.76","1178.1",""
"Mathias Levy","K1H","192.3","477.32","1205.67",""
"Silvere Desongins","K1H","201.55","111.54","1305.33",""
"Nicolas Delestre","K1H","202.1","-","1311.25",""
"Maurice Pubert","K1H","212.38","609.78","1422",""
"Quentin Sablayrolles","K1H","212.45","576.27","1422.76",""
"Loic Vichard","K1H","227.33","638.58","1583.06",""
"Marc Cailhol","K1H","228.27","326.5","1593.19",""
"Thomas Dandel","K1H","249.8","89.09","1825.14",""
"Matthias Besse","K1H","266.42","259.6","2004.19",""
"Corentin Quignard","K1H","282.07","465.22","2172.79",""
"Yann Castryck- -genereux","K1H","314.83","902.48","2525.72",""
"Gauthier Vanden  Abeele","K1H","325.92","288.79","2645.2",""
"Alban Petit","K1H","350.77","592.39","2912.91",""
"Laurent Coudurier","K1H","Nt","-","-",""
"Loic Bartolomeu","K1H","Nt","-","-",""
"Sylvain Dandel","K1H","Nt","-","-",""
"Yannick Besse","K1H","Nt","-","-",""
"Gary Allemann","K1H","Nt","-","-",""
"Valentin Pahon","K1H","Nt","-","-",""
"Thibaut Bernot","K1H","Nt","-","-",""
"Pierrealain Clerc","K1H","Nt","-","-",""
"Vincent Garcia","K1H","Nt","-","-",""
"Francois Giondini","K1H","Nt","-","-",""
"Pierre Dehaudt","K1H","Nt","-","-",""
"Guillaume Gonseth","K1H","Nt","-","-",""
"Jean-philippe Rome","K1H","Nt","-","-",""
"Gautier Boudat","K1H","Nt","-","-",""
"Marco Rodrigues","K1H","Nt","-","-",""
"Nathaniel Levy","K1H","Nt","-","-",""
"Benjamin Pre","K1H","Nt","-","-",""
"Jules Vezole","K1H","Nt","-","-",""
"Maxime Benay","K1H","Nt","-","-",""
"Thomas Delaigre","K1H","Nt","-","-",""
"Julien Carisey","K1H","Nt","-","-",""
"Sofiane Morin","K1H","Nt","-","-",""
"Bastien Benoit","K1H","Nt","-","-",""
"Philippe Cronin","K1H","Nt","-","-",""
