"Manche de la Coupe de France National 2 Slalom - 37000 Tours - Finale - 2019-03-10","Finale","2019-03-10","Nationale 2","311"
"Jules Bevalot","K1H","99.51","178.9","221.98","Finale A"
"Edouard Chenal","K1H","99.92","227.74","226.82","Finale A"
"Nathan Boudaillez","K1H","100.04","238.82","228.23","Finale A"
"Antonin Robert","K1H","100.23","261.57","230.47","Finale A"
"Thibaud Lacour","K1H","100.25","194.52","230.71","Finale A"
"Nicolas Rouleaud","K1H","100.29","228.07","231.18","Finale A"
"Sebastien Routhier","K1H","100.5","182.91","233.66","Finale A"
"Cyprien Cail","K1H","100.51","263.43","233.78","Finale A"
"Elliot Perez","K1H","100.54","194.4","234.13","Finale A"
"Pierre Hellard","K1H","100.86","147.33","237.91","Finale A"
"Gino Benini","K1H","100.89","257.24","238.26","Finale A"
"Benjamin Thiboust","K1H","101.26","186.87","242.63","Finale A"
"Hugo Monasse","K1H","101.43","247.26","244.63","Finale A"
"Romain Branjauneau","K1H","101.9","197","250.17","Finale A"
"Arnaud Verrons","K1H","102.64","174.82","258.9","Finale A"
"Jerome Olhagaray","K1H","103.17","223.03","265.16","Finale A"
"Alexis Dorey","K1H","105.19","253.27","288.99","Finale A"
"Remi Vinet","K1H","105.39","241.4","291.34","Finale A"
"Arthur Contamine","K1H","105.5","283.67","292.64","Finale A"
"Felix Praderie","K1H","106.28","258.78","301.84","Finale A"
"Nour Ait Kaddour","K1H","106.91","274.76","309.28","Finale A"
"Malo Legrand","K1H","107.2","208.84","312.7","Finale A"
"Loœc Winiarski","K1H","107.67","155","318.24","Finale A"
"Cedric Landreau","K1H","108.11","265.62","323.43","Finale A"
"Benjamin Dodane","K1H","108.38","200.48","326.62","Finale A"
"Paul Bostoen","K1H","108.4","236.17","326.85","Finale A"
"Lucas Correia","K1H","109.12","225.43","335.35","Finale A"
"Laurent Starck","K1H","110.09","205.24","346.79","Finale A"
"GaÀtan De Greef","K1H","110.3","240.39","349.26","Finale A"
"Lorin Dumont","K1H","111.11","272.33","358.82","Finale A"
"Fabien Tournadre","K1H","111.37","178.7","361.89","Finale A"
"Mael Bernes","K1H","114.32","275.13","396.69","Finale A"
"Emilien Courtiade","K1H","117.1","253.91","429.48","Finale A"
"Tanguy Malingre","K1H","117.53","289.16","434.55","Finale A"
"Dylan Sourbe","K1H","117.57","209.91","435.03","Finale A"
"Gawaine Chikh","K1H","146.85","203.32","780.43","Finale A"
"Tanguy Zaninotto","K1H","147.78","156.29","791.4","Finale A"
"Lucas Augu","K1H","148.18","189.51","796.11","Finale A"
"Loan Queffelec","K1H","148.26","179.76","797.06","Finale A"
"Djendy Simeant","K1H","149.79","193.35","815.11","Finale A"
"Nathanael Pedron","K1H","152.39","235.07","845.78","Finale A"
"Vincent Reiter","K1H","154.89","215.47","875.27","Finale A"
"G…r‘me Martin","K1H","202.03","161.52","1431.35","Finale A"
"Leo Collard","K1H","212.36","229.34","1553.21","Finale A"
"Erwan Rouch","K1H","216.49","200.28","1601.93","Finale A"
"Valentin Berland","K1H","221.11","277.29","1656.43","Finale A"
"Mewen Debliquy","K1H","254.57","243.34","2051.14","Finale A"
"Killian Flegeau","K1H","259.21","206.24","2105.87","Finale A"
"Baptiste Podor","K1H","266.15","275.37","2187.74","Finale A"
"Thomas Ukalovic","K1H","345.03","261.97","3118.25","Finale A"
"Etienne Wiche","K1H","345.88","205.61","3128.27","Finale A"
"Luca Dos Santos","K1H","Dsq","-","-","Finale A"
"Youlia Estanguet","C1D","205.4","404.53","1072.28","Finale B"
"Elorri Erdois","C1D","211.91","458.53","1136.28","Finale B"
"Sophie Staudt","C1D","220.59","464.48","1221.6","Finale B"
"Eva Dauvergne","C1D","241.32","440.35","1425.38","Finale B"
"Clara Grangeon","C1D","266.27","421.83","1670.65","Finale B"
"Laurine Naveau","C1D","337.69","401.53","2372.73","Finale B"
"Nahia Oteiza","C1D","367.03","465.42","2661.16","Finale B"
"Anais Bernardy","C1D","432.31","265.5","3302.88","Finale B"
"Celia Grandadam","C1D","557.58","410.07","4534.34","Finale B"
"Michael Philibert","C1H","105.4","233.81","237.26","Finale B"
"Julien Pajaud","C1H","105.43","184.81","237.6","Finale B"
"Benjamin Guyon","C1H","106.65","347.02","251.29","Finale B"
"Issam Chakir","C1H","112.55","230.88","317.58","Finale B"
"Hugo Eouzan-chaffotec","C1H","113.7","297.1","330.51","Finale B"
"Lucas Correia","C1H","113.82","312.7","331.85","Finale B"
"Luc Hellard","C1H","114.99","291.53","344.99","Finale B"
"Tanguy Adisson","C1H","115.81","281.76","354.21","Finale B"
"Guillaume Caron","C1H","115.84","352.62","354.55","Finale B"
"Gabin Siau","C1H","119.32","241.91","393.64","Finale B"
"Hugo Baillet","C1H","123.29","329.78","438.24","Finale B"
"Vincent Froger","C1H","124.14","357.88","447.8","Finale B"
"Samuel Vallienne","C1H","124.82","253.24","455.43","Finale B"
"Louis Rathier","C1H","132.77","313.69","544.75","Finale B"
"Andreas Dupuy","C1H","133.31","380.95","550.82","Finale B"
"Medhi Deguil","C1H","133.71","366.39","555.31","Finale B"
"Virgile Bourlet De La Vallee","C1H","134.27","444.48","561.6","Finale B"
"Nicolas Bernardy","C1H","153.55","366.65","778.21","Finale B"
"Emilien Courtiade","C1H","168.24","334.83","943.25","Finale B"
"Enki Georgel","C1H","186.18","392.85","1144.79","Finale B"
"Etienne Nardeau","C1H","189.87","331.93","1186.26","Finale B"
"Maxime Cousin","C1H","198.84","371.91","1287.02","Finale B"
"Adrien Roux","C1H","204.85","359.72","1354.55","Finale B"
"Lucas Jacob","C1H","218.26","352.87","1505.21","Finale B"
"Gwenole Noyalet","C1H","263.29","317.98","2011.1","Finale B"
"Thomas Levert","C1H","Abs","-","-","Finale B"
"Philippe Thevenin","C1H","Abs","-","-","Finale B"
"Solen Le Bourles","C1H","Abs","-","-","Finale B"
"Alan Mahe-Matheo Lebaindre","C2H","133.74","386.37","487.35","Finale B"
"Christian Boob-Frederic Boob","C2H","200.12","339.59","1199.21","Finale B"
"Paul Tallet Pinet-Benoit Lecluse","C2H","243.94","527.4","1669.14","Finale B"
"Edouard Gracias-Teddy Poulard","C2H","274.33","510.35","1995.05","Finale B"
"Romane Bronchet-Romain Bruneau","C2M","224.86","1839.8","1263.57","Finale B"
"Lubin Huet-Jann Le Corre","C2M","258.86","509.33","1597.81","Finale B"
"Frederic Boob-Frederique Merle","C2M","291.55","426.97","1919.16","Finale B"
"Caroline Scherer-Kilian Godart","C2M","660.11","417.32","5542.25","Finale B"
"Tiphaine Duboc","K1D","110.2","168.22","203.53","Finale B"
"Oceane Baylacq","K1D","114.6","307.39","249.47","Finale B"
"Maœa Gombert","K1D","120.55","248.36","311.57","Finale B"
"Maela Le Corre","K1D","122.43","339.15","331.2","Finale B"
"Cerise Babin","K1D","128.84","347.04","398.12","Finale B"
"Morgane Quemerais","K1D","132.32","375.99","434.45","Finale B"
"Carla Lacroix","K1D","133.54","295.43","447.19","Finale B"
"Solen Friconneau","K1D","140.38","331.57","518.59","Finale B"
"Frederique Merle","K1D","141.36","307.67","528.82","Finale B"
"Camille Hurez","K1D","141.46","272.93","529.87","Finale B"
"Sophie Staudt","K1D","144.94","338.35","566.19","Finale B"
"Nahia Oteiza","K1D","147.43","352.94","592.19","Finale B"
"Pauline Soenen","K1D","155.54","417.1","676.85","Finale B"
"Jann Le Corre","K1D","159.15","456.71","714.54","Finale B"
"Laurine Salesse","K1D","163.55","234.16","760.48","Finale B"
"Sarah Despres","K1D","170.62","217.92","834.27","Finale B"
"Auregane Philip","K1D","171.11","259.13","839.39","Finale B"
"Elena Hugues","K1D","174.78","289.52","877.71","Finale B"
"Eva Dauvergne","K1D","178.68","340.45","918.42","Finale B"
"Meryl Steinmann","K1D","182.16","270.84","954.75","Finale B"
"Mylene Guilcher","K1D","182.52","379.77","958.5","Finale B"
"Violaine Truche","K1D","186.46","273.24","999.64","Finale B"
"Pauline Georgeon","K1D","189.55","439.18","1031.89","Finale B"
"Mathilde Guillot-le Goff","K1D","196.04","530.42","1099.65","Finale B"
"Louane Chenal","K1D","196.72","248.15","1106.75","Finale B"
"Zoe Laurent","K1D","200.15","361.89","1142.55","Finale B"
"Ilona Martin -laemle","K1D","213.01","218.44","1276.79","Finale B"
"Lucie Fromentoux","K1D","227.3","456.14","1425.97","Finale B"
"Jessica Joyau","K1D","241.06","435.15","1569.62","Finale B"
"Pauline Clerc","K1D","259.87","400.53","1765.98","Finale B"
"Coline Bertin","K1D","275.69","336.22","1931.13","Finale B"
"Marion Gillet","K1D","288.06","431.85","2060.27","Finale B"
"Justine Clerc","K1D","288.13","272.83","2061","Finale B"
"Anais Mouhoub","K1D","289.82","436.04","2078.65","Finale B"
"Oceane Dorval","K1D","354.66","563.27","2755.53","Finale B"
"Chloe Gatuingt","K1D","374.29","435.12","2960.46","Finale B"
"Alina Rassel","K1D","429.78","428.87","3539.73","Finale B"
"Lucas Jacob","K1H","89.63","167.88","110.43","Finale B"
"Alex Louveau","K1H","91.66","148.48","134.38","Finale B"
"Louison Turmeau","K1H","93.75","123.35","159.03","Finale B"
"Olivier Cail","K1H","93.83","176.06","159.98","Finale B"
"Sylvain Dandel","K1H","93.96","234.24","161.51","Finale B"
"Otello Willmann Rosso","K1H","94.96","240.8","173.31","Finale B"
"Yvan Leblond","K1H","95.96","228.93","185.1","Finale B"
"Gael Prodeau","K1H","96.36","219.06","189.82","Finale B"
"Jules Silvin","K1H","96.74","229.72","194.31","Finale B"
"Lucas Galmiche","K1H","97.18","175.93","199.5","Finale B"
"Luc Sarramea","K1H","99.68","195.31","228.99","Finale B"
"Adrien Mesmoudi","K1H","100.11","304.72","234.06","Finale B"
"Johann Loiseau","K1H","100.22","201.78","235.36","Finale B"
"Anthony Drouhin","K1H","101.01","150.92","244.68","Finale B"
"Benjamin Thouvignon","K1H","101.8","250.07","254","Finale B"
"Anthony Thuillier","K1H","102.1","190.41","257.53","Finale B"
"Pierre Audouin","K1H","102.13","250.62","257.89","Finale B"
"Silvere Desongins","K1H","102.28","221.41","259.66","Finale B"
"Jules Cresp","K1H","102.31","187.57","260.01","Finale B"
"Loric Bertrand Delorme","K1H","102.33","256.78","260.25","Finale B"
"Mael Hervault","K1H","103.76","301.14","277.12","Finale B"
"Ewen Berrest","K1H","103.83","256.79","277.94","Finale B"
"Jeanmichel Regnier","K1H","104.46","266.77","285.37","Finale B"
"Herve Busson","K1H","104.94","258.79","291.04","Finale B"
"Hugo Crespo","K1H","104.97","243.91","291.39","Finale B"
"Simon Cognard","K1H","105.19","269.4","293.99","Finale B"
"Clement Dubois","K1H","105.24","278.22","294.57","Finale B"
"Andreas Dupuy","K1H","105.27","176.71","294.93","Finale B"
"Theo Reby","K1H","105.4","276.02","296.46","Finale B"
"Gedeon Cothias-faure","K1H","105.58","282.78","298.59","Finale B"
"Julien Dosse","K1H","105.74","273.97","300.47","Finale B"
"Clement Couchoud","K1H","106.16","292.62","305.43","Finale B"
"Teo Bouvier","K1H","106.74","274.05","312.27","Finale B"
"Thibaud Collaert","K1H","107.26","229.28","318.4","Finale B"
"Samuel Lhote","K1H","108.2","291.25","329.49","Finale B"
"Alexis Pacholak","K1H","108.21","278.23","329.61","Finale B"
"Vincent Garcia","K1H","108.47","249.13","332.68","Finale B"
"Esteban Illido","K1H","109.96","286.73","350.25","Finale B"
"Denis Parizia","K1H","110.91","283.22","361.46","Finale B"
"Charles Edouard Dherment","K1H","111.58","252.34","369.36","Finale B"
"Jonathan Delagnes","K1H","111.66","219.21","370.31","Finale B"
"Antonin Barraud","K1H","112.01","268.49","374.44","Finale B"
"Vincent Laclide","K1H","112.87","277.15","384.58","Finale B"
"Robin Pilard","K1H","114.52","262.65","404.05","Finale B"
"Anthony Ulrich","K1H","115.37","316.11","414.07","Finale B"
"Joris Schaffner","K1H","115.66","200.06","417.49","Finale B"
"Anthony Mottais","K1H","115.79","271.11","419.03","Finale B"
"Zeph Scamps","K1H","116.16","175.14","423.39","Finale B"
"Samuel Taillefer","K1H","117.35","315.1","437.43","Finale B"
"Thibaud Chevalier","K1H","119.48","301.91","462.56","Finale B"
"Tino Forgues","K1H","121.17","259.93","482.49","Finale B"
"Lubin Huet","K1H","122.51","278.08","498.3","Finale B"
"Louis Debureaux","K1H","130.42","259.17","591.61","Finale B"
"Guilhem Viguier","K1H","140.78","289.06","713.82","Finale B"
"Jeremie Palazy","K1H","140.86","147.22","714.76","Finale B"
"Yanis Rainaud","K1H","153.89","127.66","868.47","Finale B"
"Baptiste Delemotte","K1H","154.08","277.94","870.71","Finale B"
"Theo Ducasse","K1H","156.38","267.23","897.85","Finale B"
"Hugo Simon","K1H","158.52","224.54","923.09","Finale B"
"Eden Quevremont","K1H","160.6","285.95","947.63","Finale B"
"Alan Mahe","K1H","161.71","239.02","960.72","Finale B"
"Youn Aubry","K1H","162.18","301.26","966.26","Finale B"
"Kilian Godart","K1H","168.85","288.15","1044.95","Finale B"
"Martin Dubois","K1H","168.87","304.93","1045.18","Finale B"
"Nicolas Mevel","K1H","208.23","172.85","1509.49","Finale B"
"Alexandre Goujon","K1H","213.14","277.07","1567.41","Finale B"
"Timothee Le Mort","K1H","213.64","262.02","1573.31","Finale B"
"Antoine Dubost","K1H","216.93","289.44","1612.12","Finale B"
"Arthur Lagleyze","K1H","220.6","297.08","1655.41","Finale B"
"Maxime Melmont","K1H","407.83","272.64","3864.06","Finale B"
"Lucas Dominguez","K1H","773.99","258.73","8183.45","Finale B"
"Maxence Merpillat","K1H","Abs","-","-","Finale B"
