"SELECTIF DE CERGY - Cergy - 2001-10-14","Course 1","2001-10-14","Régional","127"
"Jennepin Alexandra","K1D","537.79","-","1261",""
"Sylvie Bourdon","K1D","615.33","-","1595",""
"Boulesteix Ludovic","K1H","232.47","34","96",""
"Estanguet Aldric","K1H","236.99","56","118",""
"Jean Philippe Winiarski","K1H","239.28","94","129",""
"Benjamin Thouvignon","K1H","247.23","142","169",""
"Stern Guillaume","K1H","249.73","199","181",""
"Michel Gombert","K1H","251.85","248","192",""
"Frederic Castryck","K1H","254.18","-","203",""
"Antoine Lebastard","K1H","254.68","213","206",""
"Philippe Daumont","K1H","255.83","220","211",""
"Xavier Jourdain","K1H","259.00","237","227",""
"Julien Darees","K1H","262.01","285","242",""
"Duru Jerome","K1H","262.43","294","244",""
"Ciaran Heurteau","K1H","267.19","-","268",""
"Sebastien Serot","K1H","269.2","-","278",""
"Coiffe Florion","K1H","270.15","370","282",""
"Alexandre Guerinet","K1H","270.94","368","286",""
"Philippe Valeri","K1H","271.95","362","291",""
"Louvet Renaud","K1H","273.71","-","300",""
"Nicolas Arnoult","K1H","273.84","-","301",""
"Fayol Guillaume","K1H","273.9","354","301",""
"Gallais Jules","K1H","278.15","278","322",""
"Vincent Reiter","K1H","278.48","-","324",""
"Nicolas Leclerc","K1H","281.95","517","341",""
"Quentin Vallee","K1H","281.99","-","341",""
"Lemoule Pierre","K1H","282.73","384","345",""
"Boullet Stephane","K1H","283.37","711","348",""
"Arnoult Jeanmichel","K1H","287.69","-","369",""
"Pailler Gregory","K1H","289.55","-","378",""
"Aurel Sebastien","K1H","290.75","427","384",""
"Alban Planchais","K1H","292.14","517","391",""
"Bastien Pailler","K1H","293.45","-","398",""
"Facchini Thomas","K1H","295.85","-","410",""
"Arnoult Jb","K1H","297.22","-","416",""
"Debruyere Benjamin","K1H","301.54","-","438",""
"Remy Guerinet","K1H","302.37","-","442",""
"Bastien Darcillon","K1H","305.14","-","456",""
"Noble Aurelien","K1H","306.41","-","462",""
"Besch Frederic","K1H","307.29","-","466",""
"Hetier Louis","K1H","307.3","-","466",""
"Eric Marmet","K1H","308.51","-","472",""
"Ureta Stephane","K1H","308.56","-","473",""
"Loic Monbel","K1H","315.28","-","506",""
"Ronan Lucas","K1H","316.27","-","511",""
"Lantenois Mickael","K1H","317.29","-","516",""
"Jodar Sebastien","K1H","319.47","509","527",""
"Balgros Arnault","K1H","320.34","-","531",""
"Clouzeau Hugo","K1H","322.81","-","543",""
"Macarty Sebastien","K1H","323.53","540","547",""
"Pascal Sallot","K1H","328.26","-","570",""
"Serra Thibault","K1H","333.16","-","595",""
"Ospitalier Vincent","K1H","339.16","-","624",""
"Geoffroy Schwentzel","K1H","342.46","-","641",""
"Lejeune Olivier","K1H","345.71","-","657",""
"Feltin Johan","K1H","347.1","-","664",""
"Bouletier Julien","K1H","353.25","-","694",""
"Blondeau Julien","K1H","354.75","-","702",""
"Bechade Olivier","K1H","364.5","-","750",""
"Viratelle Vincent","K1H","364.72","525","751",""
"Gilles Lucas","K1H","366.46","-","760",""
"Meunier Logan","K1H","372.98","-","792",""
"Knibbe Vivien","K1H","381.99","821","837",""
"Cluet Mathieu","K1H","387.14","-","862",""
"Dagorn Erwan","K1H","401.74","-","934",""
"Le Bastard Mathieu","K1H","412.95","-","990",""
"Gilbert Steven","K1H","415.3","-","1002",""
"Bigeon Thibault","K1H","423.81","-","1044",""
"Dreux Damien","K1H","429.03","-","1070",""
"Fluteaux Thibaut","K1H","434.03","-","1094",""
"Piovan Vincent","K1H","439.05","-","1119",""
"Ursot Olivier","K1H","487.81","-","1361",""
"Matusiak Aurelien","K1H","695.29","-","2389",""
