"CHAMPIONNAT DE BRETAGNE DE SLALOM - Lannion - 2007-12-09","Course 1","2007-12-09","Régional","235"
"Solen Le Bourles","K1H","219.85","180","251",""
"Yann Le Govic","K1H","224.33","179","277",""
"Quentin De Fierville","K1H","224.91","210","280",""
"Pierre-yves Lebreton","K1H","225.93","243","286",""
"Yann Lardic","K1H","227.41","295","294",""
"Jerome Mainguy","K1H","227.75","211","296",""
"Yves Prigent","K1H","228.93","-","303",""
"David Despierres","K1H","230.22","290","310",""
"Julien Douais","K1H","231.65","347","318",""
"Patrick Jegou","K1H","233.89","220","330",""
"Mael Rogard","K1H","234.08","-","331",""
"Erwan Beyou","K1H","236.37","204","345",""
"Melaine Caurant","K1H","238.21","309","355",""
"Nicolas Marcus","K1H","239.44","296","362",""
"Fouquart Thierry","K1H","240.08","293","365",""
"Maxime Beaulieu","K1H","241.43","-","373",""
"Florian Lepretre","K1H","243.11","-","382",""
"Arnaud Le Calvez","K1H","245.53","-","396",""
"Matthieu Jonnart-baur","K1H","246.05","360","398",""
"Guillaume Coroller","K1H","247.33","-","406",""
"Pierre Mikolajczak","K1H","249.43","303","418",""
"Loic Kervella","K1H","249.93","-","421",""
"Sebastien Gautier","K1H","249.95","-","421",""
"Didier Rouet","K1H","250.31","-","423",""
"Jeanpierre Le Lann","K1H","251.53","-","430",""
"Camille L'hostis","K1H","254.02","-","444",""
"Clement Burel","K1H","256.18","260","456",""
"Kendaor Le Huitou","K1H","257.05","160","460",""
"Sullivan Porcher","K1H","258.45","88","468",""
"Erwan Le Guevel","K1H","258.95","404","471",""
"Brindeau Joachim","K1H","259.10","-","472",""
"Luke Long","K1H","260.59","-","480",""
"Quentin Gillot","K1H","263.70","414","498",""
"Guirec Le Guen","K1H","264.31","525","502",""
"Gwenael Marquer","K1H","264.77","197","504",""
"Benjamin Duchene","K1H","265.11","386","506",""
"Tanguy Le Marec","K1H","270.26","-","535",""
"Christophe Le Bihan","K1H","270.47","558","536",""
"Debordes Jean-Baptiste","K1H","270.47","395","536",""
"David Julou","K1H","272.74","509","548",""
"Pierre Yves Tanguy","K1H","275.47","231","564",""
"Manuel Coquelin","K1H","276.73","205","571",""
"Melen Pilorge","K1H","278.67","222","582",""
"Sebastien Kerneis","K1H","279.98","230","589",""
"Romain Foulon","K1H","280.51","-","592",""
"William Basset","K1H","280.98","362","595",""
"Jacques Precigout","K1H","284.25","164","613",""
"Fabien Le Bourser","K1H","290.24","281","647",""
"Tangui Quemeneur","K1H","291.18","276","653",""
"Alexis Lotton","K1H","297.58","316","688",""
"Brigant Adrien","K1H","299.17","408","698",""
"Sebastien Cardiet","K1H","303.48","-","722",""
"Antoine Rioual","K1H","305.37","-","732",""
"Logan Nannette","K1H","305.40","384","732",""
"Sylvain Le Roux","K1H","306.55","432","739",""
"Ludovic Gaignon","K1H","307.72","-","745",""
"Francois Prevoteau","K1H","310.04","-","758",""
"Ronan Gestin","K1H","310.96","278","763",""
"Victor Azam","K1H","316.62","404","796",""
"Alan Reveillere","K1H","317.23","-","799",""
"Nicolas Veillard","K1H","320.00","113","814",""
"Jeremy Pean","K1H","320.03","466","814",""
"Ronan Dhabit","K1H","321.58","544","823",""
"Riwal Chardon","K1H","327.25","-","855",""
"Louis Guillot","K1H","339.59","445","925",""
"Vincent Salmon","K1H","343.94","308","949",""
"Pierreyves Hellard","K1H","349.16","567","979",""
"Vivien Colober","K1H","353.91","28","1005",""
"Emmanuel L'anton","K1H","362.33","361","1053",""
"Hoel Carnot","K1H","364.02","362","1062",""
"Guillaume Blin","K1H","370.82","-","1100",""
"Simon Even","K1H","380.18","272","1153",""
"Antoine Hirbec","K1H","382.54","368","1166",""
"Renan Le Caro","K1H","386.47","723","1189",""
"Goulven Le Bigot","K1H","387.70","415","1195",""
"Thomas Richer","K1H","399.05","947","1259",""
"Simon Seuru","K1H","415.81","-","1353",""
"Guillaouet Ronan","K1H","436.48","-","1470",""
"Thibaud Couetil","K1H","449.90","486","1545",""
"Christophe Mitchell","K1H","457.48","477","1587",""
"William Jacopin","K1H","461.15","387","1608",""
"Maxime Lignereux","K1H","461.24","-","1609",""
"Le Net David","K1H","467.35","-","1643",""
"Charles Gudemard","K1H","484.66","654","1740",""
"William Le Berre","K1H","528.00","-","1984",""
"Thomas Jegou","K1H","529.93","-","1995",""
"Wilfried Harduin","K1H","531.15","624","2001",""
"Fejean Benjamin","K1H","938.28","-","4290",""
