"Championnat Régional - Lochrist - Finale - 2014-11-23","Finale","2014-11-23","Régional","337"
"Malo Le Paih","C1H","145.08","409","537.98","Finale A"
"Cedric Jegouzo","C1H","Nt","-","-","Finale A"
"Nicolas Gestin","C1HM","115.64","304.88","228.02","Finale A"
"Arthur Mizzi","C1HM","136.49","-","447.54","Finale A"
"Hugo Regnier","C1HM","141.13","-","496.4","Finale A"
"Steven Henry","C1HM","149.51","-","-","Finale A"
"Malo Legrand","C1HM","203.4","-","1152","Finale A"
"Maiwenn Le Floc'h-Morgane Le Lesle","C2D","190.49","-","630.4","Finale A"
"Yves Prigent-Loic Kervella","C2H","107.43","66.86","90.17","Finale A"
"Maxime Perron-Lucas Hives - Sorin","C2H","115.52","137.28","171.48","Finale A"
"Malo Poles-Baptiste Le Poncin","C2H","120.75","138.89","224.04","Finale A"
"Julien Rocaboy-Melaine Pichard","C2H","126.06","259.62","277.4","Finale A"
"Pierre Hellard-Malo Quemeneur","C2H","126.87","255.53","285.54","Finale A"
"Valentin Marteil-Paul Cazee","C2H","129.11","375.69","308.06","Finale A"
"Dimitri Etienne-Francois Gillot","C2H","132.17","365.4","338.81","Finale A"
"Edouard Gracias-Teddy Poulard","C2H","137.46","373.54","391.98","Finale A"
"Nicolas Coudert-Fabien Le Nechet","C2H","182.56","-","845.23","Finale A"
"Steven Henry-Romain Barreau","C2HM","150.93","-","527.34","Finale A"
"Nicolas Maurel-Maxime Robin","C2HM","169.94","-","718.4","Finale A"
"Brieg Le Paih-Guillaume Le Paih","C2HM","172.22","-","741.31","Finale A"
"Simon Le Friec-Margaux Henry","C2M","127.55","-","185.56","Finale A"
"Martin Braud-Sarah Lyphout","C2M","140.04","265.72","300.62","Finale A"
"Lucas Hives - Sorin-Lou Renaud","C2M","153.38","-","423.52","Finale A"
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","208.13","331.23","927.9","Finale A"
"Alice Azam-Nathanael Pedron","C2MM","Nt","-","-","Finale A"
"Camille Prigent","K1D","108.16","49.34","68.65","Finale A"
"Margaux Henry","K1D","112.05","87.29","106.71","Finale A"
"Estelle Hellard","K1D","113.6","48.35","121.87","Finale A"
"Lea Turmeau","K1D","116.65","117.11","151.71","Finale A"
"Anne Boixel","K1D","116.83","-","153.47","Finale A"
"Sarah Despres","K1D","117.69","169.15","161.88","Finale A"
"Agathe Chaumet","K1D","119.32","203.43","177.83","Finale A"
"Heloise Geffray","K1D","123.98","181.28","223.42","Finale A"
"Zoe Huet","K1D","126.19","265.9","245.05","Finale A"
"Lea Grison","K1D","127.98","292.45","262.56","Finale A"
"Sarah Lyphout","K1D","128.21","206.44","264.8","Finale A"
"Morgane Quemerais","K1D","128.5","328.55","267.64","Finale A"
"Rozenn Le Page","K1D","129.26","284.17","275.07","Finale A"
"Laura Nicolas","K1D","131.02","324.13","292.29","Finale A"
"Lou Renaud","K1D","131.43","354.72","296.31","Finale A"
"Sylviane Quemerais","K1D","131.51","310.61","297.09","Finale A"
"Charlotte Abba","K1D","131.52","-","297.18","Finale A"
"Marianne Bercon","K1D","132.18","320.16","303.64","Finale A"
"Clothilde Le Louarn","K1D","133.44","266.94","315.96","Finale A"
"Anais Bernardy","K1DM","127.48","253.64","257.66","Finale A"
"Marion Grangeon","K1DM","144.29","567.31","422.11","Finale A"
"Aziliz Quintin","K1DM","147.72","-","455.68","Finale A"
"Alice Azam","K1DM","157.7","-","553.31","Finale A"
"Zoe Renaud","K1DM","159.5","467.23","570.91","Finale A"
"Josephine Farges","K1DM","191.16","-","880.65","Finale A"
"Mathys Huvelin","K1H","97.53","60.51","88.7","Finale A"
"Pol Oulhen","K1H","99.7","72.4","112.69","Finale A"
"Yves Prigent","K1H","100.13","57.62","117.44","Finale A"
"Samuel Lhegu","K1H","100.37","87.45","120.09","Finale A"
"Ewen Legrand","K1H","101.16","76.19","128.83","Finale A"
"Valentin Brindeau","K1H","101.58","132.02","133.47","Finale A"
"Pol Euzenes","K1H","101.76","120.52","135.46","Finale A"
"Romain Lecrenais-perrel","K1H","102.19","114.56","140.21","Finale A"
"Cedric Joly","K1H","103.12","-","150.49","Finale A"
"Cedric Jegouzo","K1H","103.21","151.27","151.49","Finale A"
"Sami Rocher","K1H","104.15","103.7","161.88","Finale A"
"Simon Despres","K1H","104.79","177.26","168.95","Finale A"
"Aubry Bertin","K1H","105.27","122.3","174.26","Finale A"
"Fabien Le Nechet","K1H","105.55","141.91","177.36","Finale A"
"Pierre Audouin","K1H","106.02","193.81","182.55","Finale A"
"Nicolas Bernardy","K1H","106.05","237.22","182.88","Finale A"
"Morgan Le Friec","K1H","107.15","217.07","195.04","Finale A"
"Nicolas Coudert","K1H","107.6","175.15","200.02","Finale A"
"Luc Hellard","K1H","107.62","167.02","200.24","Finale A"
"Mathieu Le Gal","K1H","108.28","-","207.54","Finale A"
"Riwal Le Berre","K1H","108.34","-","208.2","Finale A"
"Manuel Savels","K1H","108.37","206.08","208.53","Finale A"
"Anthony Drouhin","K1H","109.14","288.23","217.04","Finale A"
"Joris Rocher","K1H","109.14","-","217.04","Finale A"
"Franck Delachair","K1H","109.49","203.63","220.91","Finale A"
"Pierre Hellard","K1H","109.56","130.55","221.69","Finale A"
"Theo Lecomte","K1H","110.08","242.49","227.44","Finale A"
"Johann Loiseau","K1H","110.1","203.62","227.66","Finale A"
"Theo Foucher","K1H","110.27","274.09","229.54","Finale A"
"Alexis Pernelle","K1H","110.4","175.84","230.97","Finale A"
"Axel Meheust","K1H","110.73","329.02","234.62","Finale A"
"Guillaume De Fierville","K1H","110.75","295.27","234.84","Finale A"
"Paul Gestin","K1H","110.89","222.79","236.39","Finale A"
"Kilian Blot","K1H","111","152.08","237.61","Finale A"
"Martin Belliot","K1H","111.13","273.22","239.04","Finale A"
"Theo Quenouillere","K1H","111.33","137.54","241.25","Finale A"
"Jeanmichel Regnier","K1H","112.18","218.44","250.65","Finale A"
"Lionel Tinevez","K1H","112.52","234.74","254.41","Finale A"
"Luca Dos Santos","K1H","112.61","225.42","255.4","Finale A"
"Nicolas Mignon","K1H","112.69","284.13","256.29","Finale A"
"Stephane Odot","K1H","112.89","230.71","258.5","Finale A"
"Pascal Marrec","K1H","112.98","322.83","259.49","Finale A"
"Lorin Dumont","K1H","113.21","280.15","262.04","Finale A"
"Youn Aubry","K1H","113.51","310.32","265.35","Finale A"
"Sylvain Le Dantec","K1H","114.31","345.37","274.2","Finale A"
"Yves Bourhis","K1H","114.4","300.57","275.19","Finale A"
"Alan Mahe","K1H","114.65","286.13","277.96","Finale A"
"Julien Caillarec","K1H","114.66","310.95","278.07","Finale A"
"Francois Gillot","K1H","114.9","248.68","280.72","Finale A"
"Mathis Soudi","K1H","115.04","326.94","282.27","Finale A"
"Nicolas Mevel","K1H","115.4","235.82","286.25","Finale A"
"Emmanuel Cosse","K1H","115.72","306.44","289.78","Finale A"
"Quentin Lejeune","K1H","115.77","-","290.34","Finale A"
"Frederic Castryck","K1H","115.84","263.96","291.11","Finale A"
"Regis Cabel","K1H","115.95","316.11","292.33","Finale A"
"Thomas Launay","K1H","116.1","296.88","293.99","Finale A"
"Gwenael Marquer","K1H","116.25","267.66","295.64","Finale A"
"Jeremy Moreaux","K1H","116.78","-","301.5","Finale A"
"Vincent Lemonnier","K1H","118.27","-","317.97","Finale A"
"Pierre Yves Tanguy","K1H","118.66","259.51","322.29","Finale A"
"Valentin Le Moignic","K1H","118.73","265.31","323.06","Finale A"
"Julien Dosse","K1H","119.02","209.97","326.27","Finale A"
"Pol Hamon","K1H","119.51","251.89","331.68","Finale A"
"Jules Chaumet","K1H","119.62","341.07","332.9","Finale A"
"Matheo Lebaindre","K1H","119.8","231.83","334.89","Finale A"
"Yoann Le Guyader","K1H","121.28","301.06","351.25","Finale A"
"Aymeric Poirier","K1H","121.53","384.54","354.01","Finale A"
"Vincent Pelgrin","K1H","122.29","353.02","362.42","Finale A"
"Arthur Chaumet","K1H","122.4","256.2","363.63","Finale A"
"Ludovic Le Cointre","K1H","123.48","348.04","375.57","Finale A"
"Pierre Texier","K1H","124.08","356.52","382.2","Finale A"
"Timothee Le Mort","K1H","124.87","261.57","390.94","Finale A"
"Dimitri Etienne","K1H","126.24","213.52","406.08","Finale A"
"Eadwin Famechon","K1H","126.87","291.16","413.05","Finale A"
"Edouard Gracias","K1H","134.23","262.71","494.41","Finale A"
"Nathan Flageul","K1H","138.43","287.11","540.84","Finale A"
"Maxime Foucault","K1H","160.11","157.03","780.51","Finale A"
"William Simon","K1H","178.65","350.28","985.47","Finale A"
"Quentin Le Duc","K1H","182.01","256.75","1022.62","Finale A"
"Alex Louveau","K1HM","122.05","-","-","Finale A"
"Arthur Mizzi","K1HM","122.57","-","365.51","Finale A"
"Steven Henry","K1HM","127.26","-","-","Finale A"
"Hugo Regnier","K1HM","128.63","352.59","432.5","Finale A"
"Romain Barreau","K1HM","128.77","-","434.05","Finale A"
"Jonas Flament","K1HM","129.77","-","-","Finale A"
"Brieg Le Paih","K1HM","129.81","-","445.55","Finale A"
"Vincent Torzec","K1HM","131.16","-","460.47","Finale A"
"Louan Le Sommer","K1HM","132.62","-","476.61","Finale A"
"Gautier Abiven","K1HM","136.89","-","523.82","Finale A"
"Killian Flegeau","K1HM","139.55","-","553.22","Finale A"
"Leo Hachair","K1HM","141.4","-","573.68","Finale A"
"Martin Le Morvan","K1HM","143.11","-","-","Finale A"
"Lubin Huet","K1HM","149.19","-","-","Finale A"
"Valentin Crenn","K1HM","150.52","-","674.5","Finale A"
"Erwann Le Jeune","K1HM","173.94","-","933.4","Finale A"
"Theo Rose","K1HM","179.44","586.48","994.2","Finale A"
"Guillaume Le Paih","K1HM","210.57","-","1338.34","Finale A"
"Lea Grison","C1D","149.52","440.75","392.95","Finale B"
"Lea Turmeau","C1D","152.23","-","417.91","Finale B"
"Heloise Geffray","C1D","154.49","322.01","438.74","Finale B"
"Nolwenn Le Mehaute","C1D","160.25","480.99","491.81","Finale B"
"Anais Pignet","C1D","196.3","462.96","823.91","Finale B"
"Didier Botrel","C1H","123.13","276.42","311.89","Finale B"
"Brian Pieddefer","C1H","125.03","305.77","331.89","Finale B"
"Riwal Le Berre","C1H","125.67","-","338.63","Finale B"
"Hugo Robin","C1H","125.71","347.81","339.05","Finale B"
"Theo Foucher","C1H","126.25","405.7","344.73","Finale B"
"Yvan Nicolas","C1H","127.93","-","362.42","Finale B"
"Teddy Poulard","C1H","128.23","294.12","365.58","Finale B"
"Alan Mahe","C1H","133.39","463.58","419.9","Finale B"
"Jean Malo Bailleul","C1H","133.75","411.18","423.7","Finale B"
"Valentin Feroc","C1H","134.24","423.94","428.86","Finale B"
"Matheo Lebaindre","C1H","134.87","349.36","435.49","Finale B"
"Ludovic Roye","C1H","135.75","-","444.76","Finale B"
"Johann Loiseau","C1H","137.49","442.82","463.07","Finale B"
"Cedric Collet","C1H","139.96","-","489.08","Finale B"
"Julien Caillarec","C1H","140.04","517.07","489.92","Finale B"
"Axel Meheust","C1H","143.23","-","523.51","Finale B"
"Patrick Jegou","C1H","149.66","494.47","591.2","Finale B"
"Lionel Donias","C1H","149.67","486.59","591.31","Finale B"
"Youn Aubry","C1H","151.72","-","612.89","Finale B"
"Thomas Salch","C1H","160.54","-","705.75","Finale B"
"Sylvain Le Dantec","C1H","177.86","-","888.1","Finale B"
"Youenn Peloil","C1H","184.76","-","960.76","Finale B"
"Ronan Nedelec","C1H","196","-","1079.1","Finale B"
"Thomas Spindler","C1H","213.01","-","1258.19","Finale B"
"Nicolas Mevel","C1H","Nt","-","-","Finale B"
"Melaine Pichard","C1H","Nt","-","-","Finale B"
"Lubin Huet","C1HM","146.48","-","-","Finale B"
"Leo Hachair","C1HM","170.39","-","809.46","Finale B"
"Brieg Le Paih","C1HM","213.38","-","1262.08","Finale B"
"Jonas Flament","C1HM","308.96","-","-","Finale B"
"Josephine Farges-Aziliz Quintin","C2DM","315.57","-","1699.05","Finale B"
"Jean Malo Bailleul-Malo Legrand","C2H","134.83","-","370.54","Finale B"
"Alan Mahe-Matheo Lebaindre","C2H","136.04","-","382.7","Finale B"
"Lorin Dumont-Nicolas Le Belleguic","C2H","136.9","343.87","391.35","Finale B"
"Yann Le Bourser-Keliann Le Breton","C2H","138.9","567.06","411.45","Finale B"
"Nathan Flageul-Sami Rocher","C2H","142.05","424.92","443.1","Finale B"
"Simon Seuru-Ludovic Le Cointre","C2H","149.19","539.97","514.86","Finale B"
"Alan Olivo-Mathis Daniel","C2H","157.55","-","598.87","Finale B"
"Gwenc'hlan Kernaonet-Thomas Floch","C2HM","Nt","-","-","Finale B"
"Marine Leveque-Pierre Hellard","C2M","133.64","326.94","246.66","Finale B"
"Nicolas Bernardy-Anais Bernardy","C2M","140.88","-","313.36","Finale B"
"Camille Grasland-Nathan Leretrif","C2M","215.35","588.41","999.4","Finale B"
"Jean Malo Bailleul-Morgane Quemerais","C2M","266.75","510.61","1472.93","Finale B"
"Marine Leveque","K1D","117.26","97.83","162.68","Finale B"
"Marie-francoise Prigent","K1D","130.51","303.39","292.31","Finale B"
"Thiphaine Ruellan","K1D","136.65","414.86","352.37","Finale B"
"Lucie Bercon","K1D","139.98","373.53","384.95","Finale B"
"Lisa Marechal","K1D","143.19","-","416.36","Finale B"
"Enora Bronsard","K1D","146.07","420.87","444.52","Finale B"
"Veronique Vourch","K1D","146.59","371.74","449.62","Finale B"
"Eliette Caroff","K1D","149.36","451.29","476.72","Finale B"
"Camille Grasland","K1D","149.63","470.1","479.36","Finale B"
"Emma Jacob","K1D","151.05","404.6","493.25","Finale B"
"Myriam Le Joncourt","K1D","151.87","-","501.27","Finale B"
"Christine Le Gall","K1D","186.53","405.17","840.36","Finale B"
"Coline Belkheir","K1D","217.81","912.21","1146.37","Finale B"
"Anais Pignet","K1D","231.66","449.6","1281.87","Finale B"
"Maiwenn Le Floc'h","K1D","Nt","-","-","Finale B"
"Helene Raguenes","K1DM","129.23","-","279.78","Finale B"
"Charlene Le Gac","K1DM","155.35","-","535.32","Finale B"
"Manon Chaumont","K1DM","227.92","1170.22","1245.28","Finale B"
"Mathilde Le Verge","K1DM","249.25","-","1453.95","Finale B"
"Angelique Leleu","K1DM","275.17","905.83","1707.53","Finale B"
"Bleuenn Le Foll","K1DM","Nt","-","-","Finale B"
"Malo Quemeneur","K1H","101.28","109.76","135.15","Finale B"
"Thibault Marchand","K1H","108.6","115.25","216.07","Finale B"
"Malo Le Paih","K1H","110.39","199.17","235.86","Finale B"
"Maxence Barouh","K1H","110.73","461.86","239.62","Finale B"
"Simon Seuru","K1H","113.93","260.32","275","Finale B"
"Alan Dollo","K1H","115.24","116.51","289.48","Finale B"
"Clement Le Collinet","K1H","116.58","341.12","304.29","Finale B"
"Quentin Robert","K1H","117.37","333.12","313.03","Finale B"
"Ronan Nedelec","K1H","120.29","303.16","345.31","Finale B"
"Marc Bercon","K1H","120.47","-","347.3","Finale B"
"Maxime Jean","K1H","120.57","-","348.4","Finale B"
"Yann Le Bourser","K1H","120.88","373.09","351.83","Finale B"
"Hugo Guilleray","K1H","121.61","313.64","359.9","Finale B"
"Stephane Debliquy","K1H","122.17","298.14","366.09","Finale B"
"Quentin Brillaut","K1H","122.27","402.81","367.19","Finale B"
"Vincent Salmon","K1H","122.4","-","368.63","Finale B"
"Patrick Jegou","K1H","122.87","343.68","373.83","Finale B"
"Valentin Rault","K1H","123.96","439.6","385.88","Finale B"
"Leo Tasset","K1H","124.06","379.67","386.98","Finale B"
"Louison Laumondais","K1H","124.57","359.81","392.62","Finale B"
"Jean Yves Prigent","K1H","125.42","337.72","402.02","Finale B"
"Alan Olivo","K1H","125.99","415.02","408.32","Finale B"
"Guillaume Payet","K1H","126.18","364.32","410.42","Finale B"
"Ronan Gac","K1H","126.27","369.79","411.41","Finale B"
"Paul Cazee","K1H","126.55","444","414.51","Finale B"
"Christophe Gergaud","K1H","128.83","471.56","439.71","Finale B"
"Dorian Ollivier","K1H","129.55","351.93","447.67","Finale B"
"Manuel Coquelin","K1H","129.89","310.82","451.43","Finale B"
"Olivier Brochard","K1H","130.3","417.47","455.97","Finale B"
"Keliann Le Breton","K1H","130.57","420.48","458.95","Finale B"
"Samuel Flament","K1H","130.9","414.21","462.6","Finale B"
"Nicolas Le Belleguic","K1H","131.92","326.65","473.87","Finale B"
"Leo Le Druillennec","K1H","133.65","-","493","Finale B"
"Antoine Martin","K1H","133.73","454.31","493.88","Finale B"
"Romain Bouillon","K1H","135.24","498.78","510.58","Finale B"
"Lionel Donias","K1H","135.89","520.62","517.76","Finale B"
"Philippe Rocher","K1H","136.82","447.7","528.04","Finale B"
"Gerard Lafargue","K1H","137.14","419.29","531.58","Finale B"
"Luc Le Diouron","K1H","137.38","441.9","534.23","Finale B"
"Mathis Daniel","K1H","137.83","480.07","539.21","Finale B"
"Mathis Busnel","K1H","139.09","516.75","553.14","Finale B"
"Yannick Faguet","K1H","139.29","567.21","555.35","Finale B"
"Jordan Daniel","K1H","140.21","500.19","565.52","Finale B"
"Leo Paillat","K1H","141.32","565.31","577.79","Finale B"
"Jerome Saliou","K1H","141.65","473","581.44","Finale B"
"Samuel Le Dean","K1H","144.03","585.12","607.75","Finale B"
"Florian Lohezic","K1H","146.15","-","631.19","Finale B"
"Sebastien Mustiere","K1H","148.81","-","660.59","Finale B"
"David Hamon","K1H","148.96","-","662.25","Finale B"
"Christian Belouin","K1H","149.54","731.86","668.66","Finale B"
"Pierreyves Hellard","K1H","149.76","645.94","671.09","Finale B"
"Jean Christophe Olivo","K1H","152.85","509.81","705.25","Finale B"
"Valentin Le Paih","K1H","157.81","552.88","760.09","Finale B"
"Gerard Lemonnier","K1H","157.91","614.94","761.19","Finale B"
"Corentin Arrou","K1H","162.04","-","806.85","Finale B"
"Mewen Lheritier","K1H","165.13","-","841.01","Finale B"
"Sylvain Premel","K1H","171.22","621.29","908.33","Finale B"
"Vincent Acou","K1H","172.15","371.72","918.61","Finale B"
"Christian Le Parc","K1H","173.14","623.27","929.56","Finale B"
"Youenn Peloil","K1H","173.31","-","931.44","Finale B"
"Paul Guegan","K1H","174.27","-","942.05","Finale B"
"Nathan Leretrif","K1H","179.8","441.26","1003.18","Finale B"
"Thierry Dugue","K1H","180.38","711.07","1009.6","Finale B"
"Gwenael Coadou","K1H","191.59","518.59","1133.52","Finale B"
"Aubin Davaic","K1H","193.27","648.2","1152.09","Finale B"
"Pierre Bellouet Lejour","K1H","196.57","2143.82","1188.58","Finale B"
"Maxence Guiziou","K1H","202.8","854.41","1257.45","Finale B"
"Remy Tual","K1H","204.88","496.04","1280.44","Finale B"
"Antonin Collobert","K1H","260.1","1016.89","1890.89","Finale B"
"Ali Kismi","K1H","281.4","740.65","2126.36","Finale B"
"Thibaud Le Berre","K1H","Nt","-","-","Finale B"
"Hoel Carnot","K1H","Nt","-","-","Finale B"
"Nathanael Pedron","K1HM","141.2","-","576.46","Finale B"
"Quentin Le Floch","K1HM","147.31","-","-","Finale B"
"Timothee Cornu","K1HM","149.82","-","-","Finale B"
"Nicolas Maurel","K1HM","151.13","-","686.24","Finale B"
"Come Le Gal","K1HM","153","-","-","Finale B"
"Thomas Floch","K1HM","153.52","-","712.66","Finale B"
"Charles Temple","K1HM","165.3","-","842.89","Finale B"
"Maxime Robin","K1HM","165.84","-","848.86","Finale B"
"Gwenc'hlan Kernaonet","K1HM","170.29","-","898.05","Finale B"
"Malo Hery","K1HM","190.43","-","1120.7","Finale B"
"Roman Busnel","K1HM","209.84","-","-","Finale B"
"Hugo Eouzan-chaffotec","K1HM","213.61","-","-","Finale B"
"Kevin Tanay","K1HM","260.71","-","-","Finale B"
"Louis Forgeard","K1HM","276.14","-","-","Finale B"
"Julien Buors","K1HM","Nt","-","-","Finale B"
