"Nationale 3 - Lavancia Epercy - 2012-04-08","Course 3","2012-04-08","Nationale 3","169"
"Vincent Maire","K1H","145.31","404.85","527.98",""
"Anselm Arnaud","K1H","146.91","535.09","544",""
"Kevin Guyard","K1H","149.54","593.92","570.32",""
"Damien Ferraud","K1H","166.28","248.76","737.89",""
"Valentin Bordenet","K1H","178.06","292.46","855.8",""
"Thibaut Evrot","K1H","179.76","304.61","872.82",""
"Quentin Madureira","K1H","200.71","545.46","1082.53",""
"Emile Gousselot","K1H","217.63","716.24","1251.89",""
"Corentin Leroy","K1H","218.44","459.3","1260",""
"Christophe Harding","K1H","229.71","293.88","1372.81",""
"Axel Kournwsky","K1H","254.75","232.95","1623.46",""
"Vincent Cedolini","K1H","332.35","448.93","2400.22",""
"Olivier Bourgey","K1H","357.41","171.89","2651.07",""
"Thomas Stutzmann","K1H","403.47","177.82","3112.12",""
"Michael Everwyn","K1H","Nt","-","-",""
"Maxime Pierre","K1H","Nt","-","-",""
"Hugo Lelieur","K1H","Nt","-","-",""
"Louis Masson","K1H","Nt","-","-",""
"Kilian Guenier","K1H","Nt","-","-",""
"Benoit Mercier","K1H","Nt","-","-",""
"Yann Talbot","K1H","Nt","-","-",""
"Maxime Parigot","K1H","Nt","-","-",""
"Benoit Viallon","K1H","Nt","-","-",""
"Gautier Boudat","K1H","Nt","-","-",""
"Gabin Repellin","K1H","Nt","-","-",""
"Romain Gauthron","K1H","Nt","-","-",""
"Philippe Lelieur","K1H","Nt","-","-",""
"Mathias Guillot","K1H","Nt","-","-",""
"Damien Siegfried","K1H","Nt","-","-",""
"Sebastien Le Parc","K1H","Nt","-","-",""
"Florent Tamburini","K1H","Nt","-","-",""
"Pierre Francois","K1H","Nt","-","-",""
"Erwan Guenier","K1H","Nt","-","-",""
"Cedric Mace","K1H","Nt","-","-",""
"Olivier Barriere","K1H","Nt","-","-",""
"Florent Bronchain","K1H","Nt","-","-",""
"Corentin Talancieux","K1H","Nt","-","-",""
"Michel Ragot","K1H","Nt","-","-",""
"Emilien Kempf","K1H","Nt","-","-",""
"Jonathan Matern","K1H","Nt","-","-",""
