"Sélectif Championnat Nationale 2 - Lathus - Finale - 2014-03-30","Finale","2014-03-30","Nationale 2","209"
"Nicolas Feuillard","K1H","104.56","102.07","174.84","Finale A"
"Quentin Moreaux","K1H","104.71","137.24","176.41","Finale A"
"Louis-maxime Main","K1H","104.82","124.85","177.56","Finale A"
"Cedric Jegouzo","K1H","104.83","103.44","177.66","Finale A"
"Xavier Jourdain","K1H","105.18","107.17","181.33","Finale A"
"Pascal Ferry","K1H","105.62","142.58","185.93","Finale A"
"Anthony Thuillier","K1H","105.84","118.83","188.23","Finale A"
"Antonin Elne","K1H","105.89","109.06","188.75","Finale A"
"Sylvain Dandel","K1H","106.61","126.12","196.28","Finale A"
"Franck Delachair","K1H","106.85","188.94","198.79","Finale A"
"Alexis Pernelle","K1H","107.64","137.82","207.06","Finale A"
"Boris Sacre","K1H","107.64","123.09","207.06","Finale A"
"Thibault Marchand","K1H","107.85","114.62","209.25","Finale A"
"Matthieu Chauvel","K1H","108.22","167.76","213.12","Finale A"
"Gregoire Guerin","K1H","108.24","199.59","213.33","Finale A"
"Guillaume Picco","K1H","108.62","215.99","217.31","Finale A"
"Guillaume Doutreix","K1H","113.09","211.64","264.06","Finale A"
"Stephane Broute","K1H","117.23","162.78","307.37","Finale A"
"Morgan Le Friec","K1H","154.88","189.86","701.19","Finale A"
"Romain Lecrenais-perrel","K1H","157.04","122.71","723.79","Finale A"
"Eric Lamour","K1H","162.96","119.41","785.71","Finale A"
"Lisa Robin","C1D","158.08","268.58","464.07","Finale B"
"Heloise Geffray","C1D","211.85","294.26","932.78","Finale B"
"Manon Sacre","C1D","Nt","-","-","Finale B"
"Erwan Perron","C1H","113.87","148.8","220.51","Finale B"
"Quentin Moreaux","C1H","116.24","225.17","244.12","Finale B"
"Nathan Rene Corail","C1H","116.78","202.55","249.49","Finale B"
"Jerome Lacire","C1H","117.71","260.37","258.76","Finale B"
"Fabien Tournadre","C1H","118.83","171.16","269.91","Finale B"
"Aurelien Ballandras","C1H","119.63","200.7","277.88","Finale B"
"Philippe Thevenin","C1H","121.87","194.47","300.2","Finale B"
"Martin Rohaut","C1H","122.15","262.39","302.99","Finale B"
"Cedric Forgit","C1H","125.18","215.86","333.17","Finale B"
"Jan Pischek","C1H","140.81","211.55","488.88","Finale B"
"Guillaume Doutreix","C1H","154.59","238.37","626.16","Finale B"
"Joe-marie Abousleiman","C1H","174.32","260.36","822.71","Finale B"
"Richard Davy","C1H","183.73","241.26","916.45","Finale B"
"Romain Caillon","C1H","239.49","235.46","1471.94","Finale B"
"Xavier Jourdain","C1H","344.78","233.62","2520.83","Finale B"
"Nathan Robert-Quentin Robert","C2H","123.66","274.36","262.04","Finale B"
"Stephane Broute-Xavier Jourdain","C2H","125.28","223.88","277.44","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","129.08","273.35","313.57","Finale B"
"Jonas Turmeau-Gael Prodeau","C2H","129.14","219.29","314.15","Finale B"
"Pierre Hellard-Malo Quemeneur","C2H","Nt","-","-","Finale B"
"Axel Kournwsky-Adrien Maire","C2H","Nt","-","-","Finale B"
"Lea Turmeau","K1D","119.93","229.86","196.29","Finale B"
"Sarah Despres","K1D","122.63","185.54","221.28","Finale B"
"Suzon Broute","K1D","122.91","148.48","223.88","Finale B"
"Cindy Coat","K1D","128.67","213.19","277.19","Finale B"
"Lisa Robin","K1D","130.02","235.41","289.69","Finale B"
"Laura Nicolas","K1D","131.55","238.39","303.86","Finale B"
"Rozenn Le Page","K1D","131.72","284.07","305.42","Finale B"
"Laurine Naveau","K1D","132.7","163.02","314.5","Finale B"
"Noa Bouchardon","K1D","134.14","284.47","327.83","Finale B"
"Heloise Geffray","K1D","135.87","176.23","343.84","Finale B"
"Charlotte Lubineau","K1D","136.77","314.4","352.17","Finale B"
"Violaine Vennin","K1D","136.87","259.73","353.1","Finale B"
"Celia Jodar","K1D","137.38","288.49","357.82","Finale B"
"Marianne Bercon","K1D","138.91","282.65","371.98","Finale B"
"Emilie Delahaye","K1D","139.14","255.14","374.12","Finale B"
"Clothilde Le Louarn","K1D","141.7","222.19","397.81","Finale B"
"Violaine Truche","K1D","144.92","295.61","427.62","Finale B"
"Caroline Scherer","K1D","145.69","307.34","434.74","Finale B"
"Leonie Gachon","K1D","153.24","273.22","504.64","Finale B"
"Manon Sacre","K1D","165.9","282.25","621.82","Finale B"
"Suzy Merand","K1D","182.21","252.18","772.8","Finale B"
"Manon Caveribere","K1D","192.15","174.37","864.81","Finale B"
"Amelie Perier","K1D","195.84","304.96","898.97","Finale B"
"Alicia Gallot","K1D","200.9","278.3","945.81","Finale B"
"Marion Laurain","K1D","213.71","253.98","1064.39","Finale B"
"Adele Renard","K1D","293.56","288.22","1803.54","Finale B"
"Sarah Desnos","K1D","367.65","279.88","2489.37","Finale B"
"Louis Philippe Rigal","K1H","101.54","107.98","148.25","Finale B"
"Felix Jeanningros","K1H","103.13","152.37","164.88","Finale B"
"Pierre Giudicelli","K1H","103.63","190.41","170.11","Finale B"
"Nicolas Rouleaud","K1H","104.24","150.73","176.49","Finale B"
"Simon Despres","K1H","104.41","186.02","178.27","Finale B"
"Maxime Bottex","K1H","104.53","126.05","179.53","Finale B"
"Adrien Maire","K1H","104.98","163.93","184.23","Finale B"
"Luc Hellard","K1H","105.16","175.98","186.12","Finale B"
"Vincent Reiter","K1H","105.67","123.56","191.45","Finale B"
"Nikolas Stanik","K1H","105.81","134.79","192.92","Finale B"
"Nowan Bertin","K1H","105.85","126.89","193.33","Finale B"
"Malo Le Paih","K1H","107.03","189.73","205.68","Finale B"
"Julien Dosse","K1H","107.3","214.62","208.5","Finale B"
"Boris Pernelle","K1H","107.35","134.91","209.02","Finale B"
"Nizar Samlal","K1H","107.55","181.49","211.12","Finale B"
"Dimitri Etienne","K1H","107.69","165.34","212.58","Finale B"
"Otello Willmann Rosso","K1H","107.75","229","213.21","Finale B"
"Clement Cierocki","K1H","107.77","152.49","213.42","Finale B"
"Sebastien Nouvel","K1H","107.87","158.23","214.46","Finale B"
"Antoine Lebastard","K1H","108.02","220.56","216.03","Finale B"
"Kevin Lemenaheze","K1H","108.48","146.93","220.84","Finale B"
"Alexandre Lucas","K1H","108.59","214.34","221.99","Finale B"
"Leo Fournier","K1H","109.02","188.34","226.49","Finale B"
"Herve Busson","K1H","109.61","136.4","232.66","Finale B"
"Pierre Audouin","K1H","109.76","161.15","234.23","Finale B"
"Tristan Lejot","K1H","110.56","207.94","242.6","Finale B"
"Silvere Desongins","K1H","110.62","119.75","243.23","Finale B"
"Hugo Maher","K1H","111.55","154.08","252.96","Finale B"
"Bertrand Avril","K1H","111.79","212.29","255.47","Finale B"
"Philippe Daumont","K1H","112.85","206.9","266.55","Finale B"
"Vincent Garcia","K1H","113.28","226.52","271.05","Finale B"
"Arthur Favennec","K1H","113.45","233.15","272.83","Finale B"
"Axel Kournwsky","K1H","113.85","223.8","277.01","Finale B"
"Guillaume Blin","K1H","114.32","224.85","281.93","Finale B"
"Paul Gestin","K1H","114.4","217.88","282.77","Finale B"
"Theo Celjo","K1H","116.08","205.34","300.34","Finale B"
"Remy Cassar","K1H","116.82","163.93","308.08","Finale B"
"Denis Guilmard","K1H","117.07","211.82","310.7","Finale B"
"Aurelien Ballandras","K1H","119.44","206.28","335.49","Finale B"
"Gaetan Drouin","K1H","120.95","158.07","351.28","Finale B"
"Bastien Meslet","K1H","122.85","212.13","371.16","Finale B"
"Jean-francois Souville","K1H","127.12","230.11","415.82","Finale B"
"Olivier Cain","K1H","135","169.32","498.25","Finale B"
"Romain Bertrand","K1H","162.8","185.32","789.04","Finale B"
"Jules Guilbaud","K1H","166.03","169.43","822.82","Finale B"
"Vincent Froger","K1H","219.11","175.54","1378.05","Finale B"
"Matthieu Basset","K1H","232.35","189.85","1516.54","Finale B"
"Vincent Dubois","K1H","236.7","179.15","1562.04","Finale B"
