"SÈlectif RÈgional Slalom (Double) - St Pierre De Boeuf - Course n∞2 | Finale - 2018-10-14","Course n∞2 | Finale","2018-10-14","RÈgional","284"
"Mathieu Monier-Chloe Faverjon","C2M","137.76","415.05","446.23","Course n∞2 | Finale A"
"Jules Cresp-Eva Silvester","C2M","147.89","897.27","552.16","Course n∞2 | Finale A"
"Iana Gonseth-Joao Normand","C2MM","153","622.84","605.58","Course n∞2 | Finale A"
"Carole Bouzidi","K1D","97.68","32.03","90.43","Course n∞2 | Finale A"
"Joey Bercon","K1D","101.53","173.93","133.18","Course n∞2 | Finale A"
"Caroline Bourry","K1D","101.82","174.08","136.4","Course n∞2 | Finale A"
"Angele Hug","K1D","103.51","95.35","155.17","Course n∞2 | Finale A"
"Mylene Ferry","K1D","104.29","172.5","163.83","Course n∞2 | Finale A"
"Viviana Daille","K1D","104.69","144.06","168.27","Course n∞2 | Finale A"
"Laurene Roisin","K1D","106.12","180.85","184.15","Course n∞2 | Finale A"
"Anneline Triomphe","K1D","106.89","167.41","192.69","Course n∞2 | Finale A"
"Louane Chenal","K1D","107.65","286.16","201.13","Course n∞2 | Finale A"
"Clemence Lartigue","K1D","107.84","209.96","203.24","Course n∞2 | Finale A"
"Zoe Bruchon","K1D","108.08","235.44","205.91","Course n∞2 | Finale A"
"Solene Grenier","K1D","109.3","238.75","219.46","Course n∞2 | Finale A"
"Marie Amelie Silvin","K1D","111.63","249.84","245.33","Course n∞2 | Finale A"
"Camille Hurez","K1D","112.29","281.66","252.65","Course n∞2 | Finale A"
"Adeline Roux","K1D","113.24","261.71","263.2","Course n∞2 | Finale A"
"Marion Pasquali","K1D","113.52","293.58","266.31","Course n∞2 | Finale A"
"Anouk Alberti","K1D","114.39","362.96","275.97","Course n∞2 | Finale A"
"Maœa Gombert","K1D","115.69","261.54","290.41","Course n∞2 | Finale A"
"Marie Juquelier","K1D","116.46","320.88","298.96","Course n∞2 | Finale A"
"Solen Friconneau","K1D","119.55","332.29","333.26","Course n∞2 | Finale A"
"Claire Landrin","K1D","122.49","239.88","365.91","Course n∞2 | Finale A"
"Emma Miton","K1D","126.93","406.08","415.2","Course n∞2 | Finale A"
"Chloe Faverjon","K1D","127.66","386.18","423.31","Course n∞2 | Finale A"
"Lea Wetzel","K1D","165.44","163.3","842.81","Course n∞2 | Finale A"
"Iana Gonseth","K1DM","119.82","408.51","336.26","Course n∞2 | Finale A"
"Charlotte Grenier","K1DM","121.31","397.68","352.81","Course n∞2 | Finale A"
"Zelie Ferraris","K1DM","121.86","413.99","358.92","Course n∞2 | Finale A"
"Eve Vitali-guilbert","K1DM","129.02","481.75","438.42","Course n∞2 | Finale A"
"Oc…ane Noel","K1DM","137.03","708.23","527.35","Course n∞2 | Finale A"
"Lucile Bessot","K1DM","163.45","773.88","820.71","Course n∞2 | Finale A"
"Merieme Bekkadour","K1DM","Abd","-","-","Course n∞2 | Finale A"
"Martin Dougoud","K1H","88.02","36.22","110.22","Course n∞2 | Finale A"
"Loic Bertoia","K1H","90.13","86.68","136.7","Course n∞2 | Finale A"
"Pierre Grapotte","K1H","90.94","89.46","146.86","Course n∞2 | Finale A"
"Maxime Bottex","K1H","90.95","88.95","146.99","Course n∞2 | Finale A"
"Mathieu Monier","K1H","92.12","122.6","161.67","Course n∞2 | Finale A"
"Benjamin Dodane","K1H","92.88","206.77","171.2","Course n∞2 | Finale A"
"Thomas Schmitt","K1H","92.9","77.63","171.45","Course n∞2 | Finale A"
"Raphael Olla","K1H","93.43","172.54","178.1","Course n∞2 | Finale A"
"Corentin Monasse","K1H","93.69","162.49","181.37","Course n∞2 | Finale A"
"Alex Louveau","K1H","93.87","155.66","183.62","Course n∞2 | Finale A"
"Jean Charles Hacquart","K1H","95.43","172.75","203.2","Course n∞2 | Finale A"
"Loœc Winiarski","K1H","95.62","192.11","205.58","Course n∞2 | Finale A"
"Luc Doye","K1H","95.88","239.59","208.84","Course n∞2 | Finale A"
"Yann Zaepffel","K1H","95.9","255.8","209.09","Course n∞2 | Finale A"
"Samuel Bonella","K1H","96.51","187.31","216.75","Course n∞2 | Finale A"
"Etienne Wiche","K1H","96.63","231.51","218.25","Course n∞2 | Finale A"
"Gino Benini","K1H","97.39","259.79","227.79","Course n∞2 | Finale A"
"Jules Cresp","K1H","97.72","184.76","231.93","Course n∞2 | Finale A"
"Lucas Augu","K1H","97.78","186.9","232.68","Course n∞2 | Finale A"
"Davy Egraz","K1H","98.23","251.44","238.33","Course n∞2 | Finale A"
"Nathanael Pedron","K1H","98.35","262.26","239.84","Course n∞2 | Finale A"
"Louis Mazoyer","K1H","98.63","348.09","243.35","Course n∞2 | Finale A"
"Jules Silvin","K1H","98.66","223.96","243.72","Course n∞2 | Finale A"
"Simon Munch","K1H","100.18","328.19","262.8","Course n∞2 | Finale A"
"Thomas Ukalovic","K1H","100.21","259.31","263.17","Course n∞2 | Finale A"
"Loic Trenchant","K1H","100.39","274.6","265.43","Course n∞2 | Finale A"
"Baptiste Podor","K1H","100.7","277.23","269.32","Course n∞2 | Finale A"
"Valentin Vibert","K1H","100.72","250.18","269.57","Course n∞2 | Finale A"
"Alexandre Goujon","K1H","101.22","285.26","275.85","Course n∞2 | Finale A"
"Clement Couchoud","K1H","101.27","290.51","276.47","Course n∞2 | Finale A"
"Baptiste Granger","K1H","101.4","313.96","278.1","Course n∞2 | Finale A"
"Benjamin Guyon","K1H","102.21","344.34","288.27","Course n∞2 | Finale A"
"Anthony Ulrich","K1H","102.39","295.02","290.53","Course n∞2 | Finale A"
"Julien Saguet","K1H","102.8","303.4","295.67","Course n∞2 | Finale A"
"Guillaume Gery","K1H","103.57","345.14","305.33","Course n∞2 | Finale A"
"Dyclan Plessis","K1H","103.9","370.34","309.47","Course n∞2 | Finale A"
"Olivier Hardonniere","K1H","103.98","380.64","310.47","Course n∞2 | Finale A"
"Mael Hervault","K1H","104.61","293.44","318.38","Course n∞2 | Finale A"
"Collin Pouradier","K1H","104.65","313.63","318.88","Course n∞2 | Finale A"
"Noe Monier","K1H","104.79","245.27","320.64","Course n∞2 | Finale A"
"Kilian Godart","K1H","104.85","283.55","321.39","Course n∞2 | Finale A"
"Guillaume Belet","K1H","104.89","318.43","321.89","Course n∞2 | Finale A"
"Tom Benini","K1H","104.89","297.02","321.89","Course n∞2 | Finale A"
"Tanguy Malingre","K1H","105.24","285.13","326.28","Course n∞2 | Finale A"
"Lilian Querry","K1H","105.72","629.33","332.31","Course n∞2 | Finale A"
"Mohamed Saœd Bekkadour","K1H","106.76","333.11","345.36","Course n∞2 | Finale A"
"Kilian Cottet","K1H","106.99","314.48","348.24","Course n∞2 | Finale A"
"Clement Grapotte","K1H","107.02","365.12","348.62","Course n∞2 | Finale A"
"Yann Leruste","K1H","107.02","322.82","348.62","Course n∞2 | Finale A"
"Erwan Rouch","K1H","107.3","206.8","352.13","Course n∞2 | Finale A"
"Teo Bouvier","K1H","107.88","274.05","359.41","Course n∞2 | Finale A"
"Nicolas Demofsqui","K1H","108.29","340.29","364.55","Course n∞2 | Finale A"
"Alexandre Marin","K1H","110.46","274.09","391.78","Course n∞2 | Finale A"
"Baptiste Gaillard","K1H","111.02","313.08","398.81","Course n∞2 | Finale A"
"Christophe Billaud","K1H","111.11","463.09","399.94","Course n∞2 | Finale A"
"Samuel Tahaafe","K1H","115.37","410.36","453.39","Course n∞2 | Finale A"
"Raphael Massot","K1H","118.09","303.46","487.51","Course n∞2 | Finale A"
"Arthur Talarmain","K1H","120.44","383.85","517","Course n∞2 | Finale A"
"Florian Jarousse","K1H","140.72","486.32","771.45","Course n∞2 | Finale A"
"Robin Andre","K1H","151.81","354.33","910.6","Course n∞2 | Finale A"
"Adrien Fischer","K1H","151.89","351.54","911.6","Course n∞2 | Finale A"
"Arthur Contamine","K1H","155.05","291.82","951.25","Course n∞2 | Finale A"
"Lucien Goulet","K1H","Abs","-","-","Course n∞2 | Finale A"
"Hugo Monasse","K1HM","97.12","262.53","224.4","Course n∞2 | Finale A"
"Clement Fremy","K1HM","103.71","463.73","307.09","Course n∞2 | Finale A"
"Axel Clement","K1HM","105.49","399.36","329.42","Course n∞2 | Finale A"
"Theo Brun","K1HM","106.51","366.21","342.22","Course n∞2 | Finale A"
"Nathan Frison","K1HM","107.24","431.55","351.38","Course n∞2 | Finale A"
"Antoine Mazoyer","K1HM","109.84","523.63","384","Course n∞2 | Finale A"
"Matis Cote","K1HM","111.15","496.64","400.44","Course n∞2 | Finale A"
"Maxime Devis","K1HM","111.18","484.96","400.81","Course n∞2 | Finale A"
"Arthur Blocquaux","K1HM","114.3","531.17","439.96","Course n∞2 | Finale A"
"Clement Dancette","K1HM","114.74","466.2","445.48","Course n∞2 | Finale A"
"Antonin Castille","K1HM","115.21","552.14","451.38","Course n∞2 | Finale A"
"Basile Monzerian","K1HM","118.32","595.78","490.4","Course n∞2 | Finale A"
"Gaspard Gonseth","K1HM","121.86","647.17","534.82","Course n∞2 | Finale A"
"Axel Brossat","K1HM","122.29","633.28","540.21","Course n∞2 | Finale A"
"Elie Sutra","K1HM","124.93","570.18","573.33","Course n∞2 | Finale A"
"Evan Trenchant","K1HM","125.73","661.73","583.37","Course n∞2 | Finale A"
"Titouan Sourieau","K1HM","130.52","563.96","643.47","Course n∞2 | Finale A"
"Sabri Ayoune","K1HM","137.3","703.16","728.54","Course n∞2 | Finale A"
"Jules Sourieau","K1HM","147.52","605.6","856.77","Course n∞2 | Finale A"
"Baptiste Guillaubez","K1HM","175.25","562.83","1204.7","Course n∞2 | Finale A"
"Viviana Daille","C1D","118.52","306.84","250.06","Course n∞2 | Finale B"
"Claire Landrin","C1D","123.04","395.95","297.32","Course n∞2 | Finale B"
"Zoe Bruchon","C1D","143.45","478.02","510.73","Course n∞2 | Finale B"
"Kesia Georgel","C1D","187.5","517.09","971.31","Course n∞2 | Finale B"
"Camille Hurez","C1D","Abd","-","-","Course n∞2 | Finale B"
"Charlotte Grenier","C1DM","Abd","-","-","Course n∞2 | Finale B"
"Nil Georgel","C1H","111.19","397.95","339.5","Course n∞2 | Finale B"
"Olivier Barriere","C1H","112.22","959.52","351.81","Course n∞2 | Finale B"
"Nicolas Detheve","C1H","114.14","458.41","374.76","Course n∞2 | Finale B"
"Guillaume Gonseth","C1H","119.85","413.87","442.99","Course n∞2 | Finale B"
"Emile Verdier","C1H","123.76","493.32","489.72","Course n∞2 | Finale B"
"Dyclan Plessis","C1H","125.36","463.88","508.82","Course n∞2 | Finale B"
"Frank Adisson","C1H","125.9","420.18","515.29","Course n∞2 | Finale B"
"Baptiste Saul","C1H","127.31","483.79","532.14","Course n∞2 | Finale B"
"Loic Bourgeois","C1H","132.72","408.28","596.78","Course n∞2 | Finale B"
"Anthony Menissier","C1H","139.85","482.02","681.97","Course n∞2 | Finale B"
"Charles Fernandes De Oliveira","C1H","141.08","539.85","696.68","Course n∞2 | Finale B"
"Gregory Menuat","C1H","149.12","602.49","792.75","Course n∞2 | Finale B"
"Baptiste Gaillard","C1H","Abs","-","-","Course n∞2 | Finale B"
"Arthur Contamine","C1H","Abd","-","-","Course n∞2 | Finale B"
"Oscar Pasteur","C1H","Abs","-","-","Course n∞2 | Finale B"
"Ilona Martin -laemle","K1D","102.67","238.18","150.84","Course n∞2 | Finale B"
"Margot Perrin","K1D","114.01","304.38","276.75","Course n∞2 | Finale B"
"Kesia Georgel","K1D","115.81","341.92","296.74","Course n∞2 | Finale B"
"Tifenn Primet","K1D","116.15","303.45","300.52","Course n∞2 | Finale B"
"Alice Evlachev","K1D","117.42","230.69","314.62","Course n∞2 | Finale B"
"Jessica Joyau","K1D","120.51","415.42","348.93","Course n∞2 | Finale B"
"Emilie Armani","K1D","121.79","399.73","363.14","Course n∞2 | Finale B"
"Lucie Fromentoux","K1D","123.25","440.09","379.35","Course n∞2 | Finale B"
"Pauline Clerc","K1D","125.88","412.84","408.55","Course n∞2 | Finale B"
"Camille Berson","K1D","127.05","449.93","421.55","Course n∞2 | Finale B"
"Lux Debruyne","K1D","132.79","619.16","485.27","Course n∞2 | Finale B"
"Clarisse Feramus","K1D","138.17","619.98","545.01","Course n∞2 | Finale B"
"Camille Vion Delphin","K1D","139.43","577.35","559","Course n∞2 | Finale B"
"Louise Duterage","K1D","143.61","784.35","605.41","Course n∞2 | Finale B"
"Lucie Adisson","K1D","145.36","756.96","624.85","Course n∞2 | Finale B"
"Emma Fauriel","K1D","156.38","733.32","747.21","Course n∞2 | Finale B"
"Lisa Sadelli","K1D","177.81","775.33","985.16","Course n∞2 | Finale B"
"Callista Grange","K1D","207.29","498.39","1312.49","Course n∞2 | Finale B"
"Margaux Hamlin","K1D","212.74","596.56","1373","Course n∞2 | Finale B"
"Juliette Ribault","K1D","226.34","624.18","1524.02","Course n∞2 | Finale B"
"Christel Pellicier","K1D","Abd","-","-","Course n∞2 | Finale B"
"Goundo Palibrk Doucoure","K1D","Abd","-","-","Course n∞2 | Finale B"
"Eva Silvester","K1D","Abd","-","-","Course n∞2 | Finale B"
"Fantine Hortolan","K1DM","149.05","659.19","665.83","Course n∞2 | Finale B"
"Valentine Georgeon","K1DM","149.96","595.18","675.93","Course n∞2 | Finale B"
"Aurelie Cabrera","K1DM","151.36","620.46","691.47","Course n∞2 | Finale B"
"Marine Primet","K1DM","154.48","740.7","726.11","Course n∞2 | Finale B"
"Chlo… Guyon Blanc","K1DM","220.73","2133.35","1461.72","Course n∞2 | Finale B"
"Sidonie Duterage","K1DM","244.78","972.85","1728.76","Course n∞2 | Finale B"
"Leonie Reichert","K1DM","249.23","2120.65","1778.18","Course n∞2 | Finale B"
"Maxime Melmont","K1H","100.86","275.95","276.33","Course n∞2 | Finale B"
"Sebastien Lepaulard","K1H","101.53","351.9","284.73","Course n∞2 | Finale B"
"Antoine Saul","K1H","102.71","241.99","299.54","Course n∞2 | Finale B"
"Hugo Martin -laemle","K1H","102.72","308.09","299.67","Course n∞2 | Finale B"
"Jean Philippe Roche","K1H","104.41","284.6","320.87","Course n∞2 | Finale B"
"Corentin Georgeon","K1H","106.43","331.34","346.22","Course n∞2 | Finale B"
"Leo Parnotte","K1H","107.54","506.34","360.14","Course n∞2 | Finale B"
"Romain Bourguignon","K1H","107.63","384.13","361.27","Course n∞2 | Finale B"
"Denis Cote","K1H","108.64","566.5","373.94","Course n∞2 | Finale B"
"Herve Vitali","K1H","109.79","450.5","388.37","Course n∞2 | Finale B"
"Alexis Lozachmeur","K1H","110.13","689.9","392.64","Course n∞2 | Finale B"
"Raphael Bonnard","K1H","110.5","476.33","397.28","Course n∞2 | Finale B"
"Emmanuel Triomphe","K1H","111.03","376.55","403.93","Course n∞2 | Finale B"
"Remy Beal","K1H","111.29","411.99","407.19","Course n∞2 | Finale B"
"Nicolas Monzerian","K1H","112.27","459.8","419.49","Course n∞2 | Finale B"
"Loic Bourgeois","K1H","112.58","462.76","423.38","Course n∞2 | Finale B"
"Matthieu Fontanez","K1H","112.71","594.29","425.01","Course n∞2 | Finale B"
"Paul Farrugio","K1H","113.05","451.36","429.28","Course n∞2 | Finale B"
"Arnaud Lejeune","K1H","114.1","461.25","442.45","Course n∞2 | Finale B"
"Yves Masson","K1H","116.28","452.21","469.8","Course n∞2 | Finale B"
"Quentyn Maitre","K1H","116.96","453.49","478.34","Course n∞2 | Finale B"
"Charles Vallet","K1H","117.09","422.79","479.97","Course n∞2 | Finale B"
"Erwann Buthod","K1H","117.38","368.74","483.6","Course n∞2 | Finale B"
"Gabriel Saul","K1H","117.5","429.61","485.11","Course n∞2 | Finale B"
"Laurent Echivard","K1H","117.63","430.19","486.74","Course n∞2 | Finale B"
"Jonathan Ferreira","K1H","117.64","490.94","486.87","Course n∞2 | Finale B"
"Xavier Rat","K1H","118.87","491.74","502.3","Course n∞2 | Finale B"
"Mathieu Meilier","K1H","120.15","643.24","518.36","Course n∞2 | Finale B"
"Thibaud Chovin","K1H","120.34","501.16","520.74","Course n∞2 | Finale B"
"Matthieu Rousseau","K1H","120.64","510.07","524.51","Course n∞2 | Finale B"
"Yorick Richioud","K1H","121.7","630.63","537.81","Course n∞2 | Finale B"
"Clement Coulon","K1H","121.84","507.85","539.56","Course n∞2 | Finale B"
"Maxime Pilard","K1H","121.92","562.37","540.57","Course n∞2 | Finale B"
"Oscar Pasteur","K1H","122.04","506.83","542.07","Course n∞2 | Finale B"
"Corentin Mounier","K1H","122.07","604.3","542.45","Course n∞2 | Finale B"
"Justin Murphy","K1H","123.99","618.53","566.54","Course n∞2 | Finale B"
"Laurent Brossat","K1H","124.2","534.24","569.18","Course n∞2 | Finale B"
"Esteban Reder-issartel","K1H","124.35","477.12","571.06","Course n∞2 | Finale B"
"Lucas Mancuso","K1H","124.56","564.91","573.69","Course n∞2 | Finale B"
"Virgile Bessot","K1H","126.37","522.33","596.4","Course n∞2 | Finale B"
"Jean-marc Suarez","K1H","128.99","599.9","629.28","Course n∞2 | Finale B"
"Tom Ollinet","K1H","130.76","579.18","651.48","Course n∞2 | Finale B"
"Daniel Chambert","K1H","131.53","439.19","661.15","Course n∞2 | Finale B"
"Maxence Violy","K1H","133.53","751.8","686.24","Course n∞2 | Finale B"
"Theophile Vincent","K1H","136.83","658.26","727.64","Course n∞2 | Finale B"
"Guillaume Mele","K1H","137.46","659.41","735.55","Course n∞2 | Finale B"
"Hugo Ausseresse","K1H","138.25","713.99","745.46","Course n∞2 | Finale B"
"Fatih Frederick","K1H","138.75","715.1","751.73","Course n∞2 | Finale B"
"Ga l Bonnot","K1H","141.5","1124.68","786.24","Course n∞2 | Finale B"
"Eric Pouradier","K1H","141.59","801.13","787.37","Course n∞2 | Finale B"
"Florent Vallier","K1H","147.05","542.52","855.87","Course n∞2 | Finale B"
"Kevin Vienny","K1H","149.52","778.62","886.87","Course n∞2 | Finale B"
"Antonin Robert","K1H","156.97","264.15","980.34","Course n∞2 | Finale B"
"Raphael Maville","K1H","157.43","1008.52","986.11","Course n∞2 | Finale B"
"Arthur Vernede","K1H","169.94","428.18","1143.08","Course n∞2 | Finale B"
"Alexei Evlachev","K1H","173.21","470.76","1184.1","Course n∞2 | Finale B"
"Luke Ribeyre","K1H","173.45","637.82","1187.12","Course n∞2 | Finale B"
"Remi Hervieux","K1H","200.66","1019.19","1528.52","Course n∞2 | Finale B"
"Corentin Amand","K1H","237.93","1178.76","1996.15","Course n∞2 | Finale B"
"Charles Fernandes De Oliveira","K1H","Abs","-","-","Course n∞2 | Finale B"
"Nicolas Detheve","K1H","Abs","-","-","Course n∞2 | Finale B"
"Gabin Chenal","K1HM","113.49","467.4","434.8","Course n∞2 | Finale B"
"Maxence Raymond","K1HM","126.42","652.46","597.03","Course n∞2 | Finale B"
"Sacha Caron","K1HM","128.95","630.23","628.77","Course n∞2 | Finale B"
"Isaac Pinneau","K1HM","129.43","685.23","634.8","Course n∞2 | Finale B"
"Tao Colonna","K1HM","130.6","656.18","649.48","Course n∞2 | Finale B"
"Anton Coux","K1HM","131.67","721.91","662.9","Course n∞2 | Finale B"
"Quentin Meilier","K1HM","136.72","1195.02","726.26","Course n∞2 | Finale B"
"Aloys Morel","K1HM","137.25","848.55","732.91","Course n∞2 | Finale B"
"Titouan Gony","K1HM","138.01","772.56","742.45","Course n∞2 | Finale B"
"Rafael Parnotte","K1HM","138.34","747.8","746.59","Course n∞2 | Finale B"
"Emilien Charrier","K1HM","140.18","731.2","769.68","Course n∞2 | Finale B"
"Oscar Puc","K1HM","144.31","743.61","821.5","Course n∞2 | Finale B"
"Joao Normand","K1HM","145.73","563.33","839.31","Course n∞2 | Finale B"
"Charlie Bouvier","K1HM","149.09","693.5","881.47","Course n∞2 | Finale B"
"Clement Innocenti","K1HM","158.72","1722.7","1002.3","Course n∞2 | Finale B"
"William Varela","K1HM","160.36","939.72","1022.88","Course n∞2 | Finale B"
"Louis Bouquet","K1HM","167.1","845.56","1107.44","Course n∞2 | Finale B"
"Olivier Mattana","K1HM","183.77","1365.69","1316.6","Course n∞2 | Finale B"
"Clement Roussel","K1HM","209.57","1229.99","1640.31","Course n∞2 | Finale B"
"Jules Roussel","K1HM","236.82","1075.87","1982.22","Course n∞2 | Finale B"
