"Sélectif N2 - Annemasse - 2001-04-29","Course 1","2001-04-29","Nationale 2","138"
"Jerome Talbot","K1H","249.14","-","306",""
"Di Lauro Alexandre","K1H","252.51","-","322",""
"Patrick Gass","K1H","254.53","-","331",""
"Sylvain Herrbach","K1H","255.45","-","335",""
"Marinot Pascal","K1H","257.68","-","345",""
"Bruno Madier","K1H","259.8","-","355",""
"Laroque Jeanchristophe","K1H","261.96","-","364",""
"Gall Philippe","K1H","292.59","-","503",""
"Olivier Mittler","K1H","298.11","-","528",""
"Jean Guyot","K1H","300.33","-","538",""
"Philippe Chapatte","K1H","303.55","-","552",""
"Frotey Alain","K1H","307.58","-","570",""
"Renaud Guy","K1H","309.52","-","579",""
"Nizar Samlal","K1H","323.33","-","641",""
"Medjeberg Jeremy","K1H","397.73","181","977",""
