"Sélectif Régional - Sélestat - 2013-09-29","Course 3","2013-09-29","Régional","162"
"Mylene Pellizzoni","K1D","140.23","335.79","473.12",""
"Thais Francois","K1D","141.05","-","482.13",""
"Sarah Rothenbuhler","K1D","145.24","356.51","528.12",""
"Tassia Konstantinidis","K1D","146.78","-","545.02",""
"Stassy Legendre","K1D","151.35","433.23","595.18",""
"Pauline Dias Lopes","K1D","154.48","-","629.53",""
"Elsa Monnet","K1D","155.34","412.57","638.97",""
"Emmanuelle Herrmann","K1D","156.28","-","649.29",""
"Maeva Auriol","K1D","159.68","-","686.61",""
"Elise Gilliard","K1D","166.53","-","761.79",""
"Caroline Dias-lopes","K1D","169.84","-","798.12",""
"Julie Munch","K1D","175.18","-","856.74",""
"Manon Louis","K1D","176.2","806.68","867.92",""
"Sandra Carisey","K1D","Nt","-","-",""
"Laure Camozzi","K1D","Nt","-","-",""
"Brigitte Marechal","K1D","Nt","-","-",""
"Florianne Gautier","K1D","Nt","-","-",""
"Emmanuel Walczak","K1H","95.77","27.1","121.8",""
"Mathieu Douillet","K1H","98.93","43.42","160.99",""
"Manuel Munsch","K1H","102.12","-","200.55",""
"Charlie Barbier","K1H","102.23","91.98","201.92",""
"Laurent Starck","K1H","104.08","75.87","224.86",""
"Pierre Marie Roussel","K1H","105.89","32.58","247.31",""
"Maxence Grandadam","K1H","107.44","111.74","266.54",""
"Liam Jegou","K1H","108.27","83.25","276.83",""
"Alexis Caspar","K1H","108.74","54.65","282.65",""
"Arnaud Pellizzoni","K1H","109.36","108.68","290.34",""
"Smail Mouhoub","K1H","109.45","-","291.47",""
"Christophe Siffert","K1H","109.84","219.38","296.31",""
"Arnaud Jamet","K1H","110.99","218.37","310.56",""
"Christophe Billaud","K1H","111.03","157.76","311.06",""
"Luke Meysner","K1H","111.39","-","315.53",""
"Anthony Ulrich","K1H","111.98","210.76","322.85",""
"Thibaut Chariot","K1H","112.66","114.43","331.28",""
"Maxime Di Lauro","K1H","113.13","-","337.1",""
"Guillaume Carpentier","K1H","113.25","-","338.59",""
"Loic Thielen","K1H","113.61","-","343.05",""
"Loic Sieber","K1H","114.08","166.68","348.89",""
"Christophe Harding","K1H","114.09","172.53","349.02",""
"Benoit Lecoester","K1H","114.63","242.7","355.71",""
"Olivier Urbain","K1H","115.66","153.09","368.48",""
"Pascal Philip","K1H","115.81","247.23","370.35",""
"Pierre Aubry","K1H","116.07","429.45","373.57",""
"Paul Frommer","K1H","116.99","268.64","384.98",""
"Eddy Cassard","K1H","118.29","266.95","401.1",""
"Nicolas Fritsch","K1H","120.66","-","430.49",""
"Philippe Thevenin","K1H","121.18","301.16","436.94",""
"Jack Williams","K1H","121.25","418.78","437.81",""
"Marc Jegou","K1H","123.88","231.58","470.43",""
"Leo Hemmerle","K1H","124.94","-","483.58",""
"Jean Guyot","K1H","127.91","306.82","520.42",""
"Kyle Gelb","K1H","129.22","402.78","536.66",""
"Simon Hene","K1H","130.02","-","546.59",""
"Rafael Pawlus","K1H","131.2","-","561.22",""
"Patrick Thevenin","K1H","136.01","-","620.87",""
"Henri Steiner","K1H","136.17","-","622.86",""
"Benjamin Hene","K1H","137.11","-","634.52",""
"Guillaume Bourgade","K1H","137.49","-","639.24",""
"Gilles Barthelemy","K1H","140.74","448.03","679.54",""
"Eric Louis","K1H","141.53","-","689.34",""
"Robin Godel","K1H","141.65","-","690.82",""
"Titouan Riviere","K1H","141.9","538.8","693.93",""
"Daniel Gasser","K1H","142.64","-","703.11",""
"Louis Lombardi","K1H","144.14","-","721.71",""
"Eliot Wendling","K1H","144.22","652.97","722.7",""
"Lukas Werro","K1H","146.95","53.32","756.56",""
"Leo Di Jorio","K1H","148.65","-","777.65",""
"David Matchavariani","K1H","148.8","-","779.5",""
"Felix Rochlitz","K1H","149.28","-","785.45",""
"Jacques Mischler","K1H","149.38","-","786.7",""
"Guillaume Blin","K1H","151.33","-","810.88",""
"Jeremias Schlaefli","K1H","151.96","231.7","818.7",""
"Anthony Menetrier","K1H","152.97","-","831.23",""
"Clement Paviet","K1H","153.32","-","835.57",""
"Julien Haberland","K1H","153.33","-","835.69",""
"Sacha Mutschler","K1H","157.25","-","884.31",""
"William Pawlus","K1H","159.26","-","909.24",""
"Quentin Madureira","K1H","162.96","210.11","955.13",""
"Alexandre Lambert","K1H","163.3","487.56","959.34",""
"Lucas Bernard Matias","K1H","164.95","-","979.8",""
"Nicolas Bosson","K1H","166.72","-","1001.76",""
"Nathan Barbier","K1H","166.85","111.15","1003.37",""
"Come Champurney","K1H","170.92","-","1053.86",""
"Florian Balhuizen","K1H","174.92","-","1103.46",""
"Ludovic Mazimann","K1H","187.45","-","1258.86",""
"Arthur Fernandez De Oliveira","K1H","219.07","-","1651.04",""
"Vincent Gimenez","K1H","264.34","-","2212.5",""
"Jeremy Pawlus","K1H","321.63","-","2923.04",""
"Patrice Ulrich","K1H","Nt","-","-",""
"ClÉment Lacroix","K1H","Nt","-","-",""
"Valentin Fuchs","K1H","Nt","-","-",""
"Etienne Baudu","K1H","Nt","-","-",""
"Antoine Esseric","K1H","Nt","-","-",""
"Dylan Hirtz","K1H","Nt","-","-",""
"Christophe Godinat","K1H","Nt","-","-",""
"Pierre Louis Ledoux","K1H","Nt","-","-",""
