"Slalom Régional - Sélestat - 2011-09-24","Course 1","2011-09-24","Régional","158"
"Bertrand Gutierrez","K1H","95.16","56.96","112.82",""
"Mathieu Douillet","K1H","96.98","139.88","133.95",""
"Jeremias Schlaefli","K1H","98.25","-","148.69",""
"Xavier Marie","K1H","98.98","137.08","157.17",""
"Enzo Seker","K1H","99.87","125.85","167.5",""
"Maxence Grandadam","K1H","100.3","102.71","172.49",""
"Nathan Barbier","K1H","101.34","118.45","184.57",""
"Thibaut Chariot","K1H","101.48","129.61","186.19",""
"Arnaud Pellizzoni","K1H","101.88","187.61","190.84",""
"Laurent Starck","K1H","102.04","151.26","192.7",""
"Antoine Germay","K1H","102.08","173.49","193.16",""
"Clement Travert","K1H","102.58","223.45","198.97",""
"Nicolas Germay","K1H","103.01","202.36","203.96",""
"William Boutet","K1H","103.11","-","205.12",""
"Maxime Degesves","K1H","103.2","174.41","206.16",""
"Xavier Sucker","K1H","103.5","188.65","209.65",""
"Nicolas Burgi","K1H","104.09","155.78","216.5",""
"Guilhem Douillet","K1H","104.34","-","219.4",""
"Arthur Bernot","K1H","104.82","114.16","224.97",""
"Marcantoine Hacquart","K1H","105.48","-","232.63",""
"Thibaut Bernot","K1H","105.7","167.45","235.19",""
"Olivier Urbain","K1H","106.03","185.49","239.02",""
"Billel Khenchouche","K1H","106.4","145.43","243.32",""
"Thomas Barraco","K1H","106.42","214.93","243.55",""
"Florian Baumann","K1H","106.91","226.39","249.24",""
"Alexandre Allemang","K1H","107.4","230.16","254.93",""
"Guillaume Carpentier","K1H","107.49","-","255.97",""
"Eddy Cassard","K1H","107.9","240.93","260.73",""
"Matthieu Duval","K1H","107.98","173.11","261.66",""
"Louis Savart","K1H","108.19","285.11","264.1",""
"Christophe Siffert","K1H","108.48","247.84","267.46",""
"Christophe Godinat","K1H","108.77","-","270.83",""
"Charlie Barbier","K1H","109.14","276.15","275.13",""
"Christophe Harding","K1H","109.35","379.85","277.57",""
"Arnaud Jamet","K1H","109.74","216.03","282.09",""
"Emmanuel Triomphe","K1H","110.55","239.04","291.5",""
"Antoine Leroy","K1H","111.96","290.5","307.87",""
"Philippe Thevenin","K1H","112.1","-","309.49",""
"Maxime Bottex","K1H","112.78","-","317.39",""
"Philippe Godinat","K1H","112.78","-","317.39",""
"Nicolas Fritsch","K1H","112.79","291.42","317.5",""
"Liam Jegou","K1H","113.41","176.32","324.7",""
"Laurent Graillot","K1H","114.06","238.63","332.25",""
"Sebastien Varin","K1H","114.29","321.07","334.92",""
"Marc Jegou","K1H","114.62","247.94","338.75",""
"Fabien Fritsch","K1H","114.85","312.31","341.42",""
"Cyril Gallezot","K1H","115.28","465.28","346.41",""
"Nathan Quittet","K1H","115.34","-","347.11",""
"Anthony Oudot","K1H","116.62","285.12","361.97",""
"Charles Fernandes De Oliveira","K1H","117.11","422.86","367.66",""
"Victor Beau","K1H","118.35","-","382.06",""
"Guillaume Goury","K1H","118.41","464.9","382.75",""
"Gautier Boudat","K1H","120.26","-","404.23",""
"Lucas Galmiche","K1H","120.73","-","409.69",""
"Jordan Bostoen","K1H","121.85","-","422.69",""
"Patrick Thevenin","K1H","122.27","366.72","427.57",""
"Dylan Hirtz","K1H","124.15","-","449.4",""
"Vincent Herrenberger","K1H","127.45","-","487.71",""
"Anthony Ulrich","K1H","128.04","-","494.56",""
"Romain Pergaud","K1H","128.42","717.05","498.97",""
"Baptiste Maes","K1H","128.47","459.46","499.55",""
"Corentin Leroy","K1H","130.17","531.5","519.29",""
"Guillaume Wiss","K1H","131.55","-","535.31",""
"Jack Williams","K1H","132.67","-","548.31",""
"Nicolas Abel","K1H","134.02","-","563.99",""
"Yann Talbot","K1H","134.83","-","573.39",""
"Eric Louis","K1H","137.19","557.85","600.79",""
"Daniel Gasser","K1H","140.71","-","641.66",""
"Mehdi Amini","K1H","160.92","-","876.3",""
"Quentin Madureira","K1H","232.86","-","1711.54",""
"Lukas Werro","K1H","Nt","-","-",""
"Thomas Schmitt","K1H","Nt","-","-",""
"Jonathan Matern","K1H","Nt","-","-",""
"Julien Oury","K1H","Nt","-","-",""
"Emile Gousselot","K1H","Nt","-","-",""
"Pascal Philip","K1H","Nt","-","-",""
