"Sélectif National 2 - Corbeil-Essonnes - 2009-03-08","Course 1","2009-03-08","Nationale 2","241"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","279.34","219","298",""
"Come Hebert-David Soulier","C2H","280.72","204","304",""
"Geoffroy Schwentzel-Louison Tanet","C2H","281.55","250","307",""
"Clement Berger-Mathieu Villeger","C2H","283.63","193","316",""
"Alexandre Mathis-Pierre Melin","C2H","287.70","268","333",""
"Jerome Olhagaray-Jonathan Matern","C2H","311.35","302","430",""
"Oriane Rebours-Yoann Rebours","C2M","291.42","354","266",""
"Christine Poix-Emmanuel Del Rey","C2M","309.40","373","335",""
"Teddy Poulard-Alize Bachelot","C2M","336.11","488","438",""
"Elodie Le Nechet","K1D","231.19","94","75",""
"Anne Traband","K1D","236.92","163","98",""
"Flora Bove","K1D","245.11","141","130",""
"Gaelle Tosser-roussey","K1D","245.90","158","134",""
"Florianne Gautier","K1D","251.77","204","157",""
"Pauline Soenen","K1D","252.43","179","160",""
"Estelle Hellard","K1D","253.01","182","162",""
"Elise Pierron","K1D","253.02","172","163",""
"Lucie Baudu","K1D","253.12","236","163",""
"Anne Fischer","K1D","255.61","203","173",""
"Valerie Sibioude","K1D","259.93","180","190",""
"Andrea Gratwohl","K1D","261.72","246","197",""
"Priscille Duruz","K1D","263.20","194","203",""
"Anais Coudrin","K1D","263.67","268","205",""
"Helene Thuret","K1D","266.06","299","215",""
"Fiora Bourges","K1D","267.15","197","219",""
"Julie Quesne","K1D","267.60","234","220",""
"Clara Dos Santos","K1D","268.28","239","223",""
"Laura Fauste","K1D","273.50","233","244",""
"Lisa Tanet","K1D","275.03","209","250",""
"Marie-francoise Prigent","K1D","275.30","240","251",""
"Lorraine Mathis","K1D","276.85","286","258",""
"Raphaelle Hovine","K1D","277.13","206","259",""
"Calypso Freichel","K1D","277.58","259","260",""
"Sylviane Quemerais","K1D","280.22","286","272",""
"Christelle Gilg","K1D","285.11","250","291",""
"Andrea De Azevedo","K1D","285.80","87","294",""
"Blanche Legin","K1D","286.70","285","297",""
"Anais Couturier","K1D","287.00","282","298",""
"Stephanie Ansot","K1D","287.87","246","302",""
"Annabelle Garnier","K1D","290.48","236","312",""
"Lea Feuillard","K1D","291.25","282","315",""
"Lisa Elasri","K1D","293.57","319","324",""
"Cecile Meichel","K1D","294.36","271","328",""
"Camille Gil","K1D","294.51","269","329",""
"Claire Pichon","K1D","294.80","304","329",""
"Claire Moal","K1D","296.34","221","335",""
"Erell Chardon Vivier","K1D","297.64","374","340",""
"Tiphanie Borlet","K1D","300.57","251","352",""
"Clemence Debien","K1D","314.84","330","409",""
"Rosalie Kempf","K1D","315.40","351","412",""
"Sophie Balmossiere","K1D","316.73","326","417",""
"Sarah Lyphout","K1D","317.82","186","421",""
"Alize Bachelot","K1D","320.08","276","431",""
"Emilie Hernandez-brossard","K1D","320.55","216","432",""
"Stephanie Le Mercier","K1D","322.45","208","440",""
"Maud Caspar","K1D","322.47","230","440",""
"Tifenn Van Delft","K1D","323.39","-","444",""
"Constance Martin","K1D","323.65","354","445",""
"Cyrielle Pichard","K1D","351.19","308","555",""
"Marion Gallois","K1D","366.13","247","615",""
"Marine Joslin","K1D","369.00","361","627",""
"Sophie Machiels","K1D","Abs","-","-",""
"Vincent Reiter","K1H","199.00","98","49",""
"Quentin Burgi","K1H","203.58","88","70",""
"Boris Sacre","K1H","205.55","96","79",""
"Laurent Rigaud","K1H","206.51","102","83",""
"Julien Haberland","K1H","206.73","91","84",""
"Nicolas Rebours","K1H","206.90","91","85",""
"Jean Christophe Boivin","K1H","206.95","134","85",""
"Yann Le Govic","K1H","207.67","114","89",""
"Nicolas Coudert","K1H","207.68","93","89",""
"Samuel Lhegu","K1H","208.99","121","94",""
"Mathieu Haberland","K1H","211.47","101","106",""
"Enrick Cunsolo","K1H","211.62","100","106",""
"Herve Busson","K1H","211.63","96","106",""
"Bertrand Gutierrez","K1H","211.84","157","107",""
"Anthony Mottais","K1H","212.17","113","109",""
"Benoit Jouan","K1H","213.21","164","114",""
"Riwal Le Berre","K1H","213.27","128","114",""
"Kendaor Le Huitou","K1H","213.66","99","116",""
"Erwan Cadio","K1H","213.78","92","117",""
"Mathieu Biazizzo","K1H","213.97","77","117",""
"Jerome Olhagaray","K1H","214.50","107","119",""
"Alexandre Di Nisi","K1H","214.91","146","122",""
"Julien Dosse","K1H","215.10","139","123",""
"Kevin Gouabault","K1H","215.27","113","123",""
"Louison Tanet","K1H","215.91","-","126",""
"Quentin De Fierville","K1H","216.04","115","127",""
"Mael Othenin Girard","K1H","216.13","173","127",""
"Benjamin Thiboust","K1H","216.21","137","128",""
"Pierre Pans","K1H","216.67","140","129",""
"Anthony Thuillier","K1H","217.29","158","132",""
"Xavier Jourdain","K1H","217.56","93","134",""
"Melaine Pichard","K1H","217.77","116","134",""
"William Desnos","K1H","218.07","114","135",""
"Benjamin Thouvignon","K1H","218.23","89","136",""
"Vincent Lemonnier","K1H","218.56","204","138",""
"Florient Tagnon","K1H","219.39","170","141",""
"Antoine Launay","K1H","219.53","104","142",""
"Yoann Rebours","K1H","219.66","139","143",""
"Paul Aubert","K1H","219.78","148","144",""
"Louis-maxime Main","K1H","220.89","148","148",""
"Nicolas Feuillard","K1H","221.85","150","153",""
"Bastien Belembert","K1H","222.15","191","154",""
"Olivier Machiels","K1H","222.42","157","156",""
"Guillaume Huppert","K1H","222.76","208","157",""
"Jeremy Vibert","K1H","223.28","115","159",""
"Romain Bove","K1H","223.57","143","161",""
"Thibaud Delaunay","K1H","223.77","187","162",""
"Quentin Lyphout","K1H","223.78","185","162",""
"Remi Thomas","K1H","224.12","150","163",""
"Romain Lecrenais-perrel","K1H","224.41","203","164",""
"Fabien Tournadre","K1H","224.59","88","165",""
"Mathieu Godin","K1H","225.11","188","168",""
"Lionel Tinevez","K1H","225.31","159","169",""
"Jonathan Chapatte","K1H","225.35","118","169",""
"Julien Daumont","K1H","225.47","124","169",""
"Romain Guyomard","K1H","225.68","153","170",""
"Arthur Georges","K1H","225.82","118","171",""
"Axel Marais","K1H","225.84","167","171",""
"Herve Launay","K1H","225.87","121","171",""
"Quentin Moreaux","K1H","226.22","174","173",""
"Christophe Siffert","K1H","226.51","175","174",""
"Romain Viry","K1H","226.63","159","175",""
"Didier Niel","K1H","226.66","167","175",""
"Nicolas Carduner","K1H","226.68","209","175",""
"Frederic Tinchant","K1H","226.75","178","175",""
"Clement Burel","K1H","226.78","232","175",""
"Joffrey Lemeux","K1H","227.39","125","178",""
"Jeremy Lehning","K1H","227.73","134","180",""
"Joris Rocher","K1H","228.05","174","181",""
"Valentin Casse","K1H","228.08","208","181",""
"Baptiste Granger","K1H","228.35","162","182",""
"Alexandre Thomasseau","K1H","228.37","171","182",""
"Stephane Odot","K1H","228.40","218","182",""
"Michel Gombert","K1H","228.56","161","183",""
"Tristan Bronsard","K1H","228.75","199","184",""
"Bertrand Avril","K1H","228.86","190","185",""
"Loic Gobert","K1H","228.88","157","185",""
"Philippe Daumont","K1H","229.01","172","186",""
"Manuel Coquelin","K1H","229.58","209","188",""
"Nathan Barbier","K1H","229.88","152","189",""
"Jerome Trousson","K1H","230.05","167","190",""
"Jean Messialle","K1H","230.39","186","192",""
"Mickael Louchard","K1H","230.42","184","192",""
"Gregory Booth","K1H","231.03","217","194",""
"Jean Charles Creusot Walter","K1H","231.82","157","198",""
"Thibaut Chariot","K1H","232.45","186","201",""
"Richard Davy","K1H","232.46","195","201",""
"Riwal Chardon","K1H","232.65","233","202",""
"Vincent Froger","K1H","233.31","175","204",""
"Julien Bley","K1H","234.02","197","208",""
"Paul Poulet","K1H","235.25","212","214",""
"Thomas Monvoisin","K1H","235.28","187","214",""
"Nicolas Mangeolle","K1H","235.40","258","215",""
"Simon Boulan","K1H","236.12","192","217",""
"Eric Lamour","K1H","236.97","213","221",""
"Florent Tamburini","K1H","238.51","204","228",""
"Sylvain Herrbach","K1H","239.15","196","232",""
"Pierre Yves Tanguy","K1H","239.29","198","232",""
"Julien Fougeron","K1H","239.59","214","233",""
"Alain Droniou","K1H","239.92","209","235",""
"Guillaume Arnaud","K1H","240.56","220","237",""
"Ludovic Lino","K1H","240.80","186","238",""
"Etienne Legeay","K1H","241.56","194","242",""
"Stefan Stanik","K1H","241.68","188","243",""
"Silvere Desongins","K1H","242.42","196","246",""
"Anthony Deschamps","K1H","242.72","211","248",""
"Nikolas Stanik","K1H","243.03","192","249",""
"Stephane Broute","K1H","243.05","186","249",""
"Julien Signarbieux","K1H","243.43","173","250",""
"Emmanuel Moreau","K1H","243.63","209","251",""
"Yves Lecointe","K1H","243.83","144","252",""
"Jacques Despierres","K1H","245.23","210","259",""
"Damien Burteaux","K1H","249.06","230","276",""
"Valentin Cazin","K1H","250.42","218","282",""
"Matthieu Walfard","K1H","252.13","233","290",""
"Gregory Busson","K1H","262.67","112","338",""
"Lucas Kelifaoui","K1H","265.18","76","349",""
"Pierre Bontoux","K1H","270.16","144","371",""
"Loic Monbel","K1H","270.47","141","373",""
"Simon Despres","K1H","273.21","113","386",""
"Simon Bercon","K1H","276.29","189","399",""
"Yves Debailleul","K1H","281.73","205","424",""
"Simon Philibert","K1H","284.92","154","438",""
"David Riffaud","K1H","286.82","154","447",""
"Jeremy Poux","K1H","289.12","209","457",""
"Venceslas Viseur","K1H","291.48","142","468",""
"Christophe Le Mercier","K1H","296.11","159","489",""
"Tangui Quemeneur","K1H","297.37","220","495",""
"Clement Praille","K1H","300.14","207","507",""
"Vincent Gourmel","K1H","Abs","-","-",""
"Pierre Baux","K1H","Abs","-","-",""
