"Sélectif Championnat National 2 Slalom - St Pierre De Boeuf - Finale - 2015-02-22","Finale","2015-02-22","Nationale 2","188"
"Joey Bercon","K1D","113.35","136.93","200.92","Finale A"
"Joana Palermo","K1D","113.62","145.73","203.6","Finale A"
"Lisa Mouffle","K1D","113.81","179.83","205.49","Finale A"
"Julie Labarelle","K1D","114.41","130.18","211.45","Finale A"
"Fanchon Janssen","K1D","115.63","184.97","223.58","Finale A"
"Nelly Tornare","K1D","115.83","162.97","225.57","Finale A"
"Camille Fontaine","K1D","116.5","198.42","232.23","Finale A"
"Viviana Daille","K1D","116.67","210.34","233.92","Finale A"
"Angelique Guilcher","K1D","117.06","156.24","237.8","Finale A"
"Candice Brondel","K1D","117.11","274.12","238.29","Finale A"
"Emilie Lhomme","K1D","117.48","185.87","241.98","Finale A"
"Elise Pierron","K1D","118.12","117.95","248.34","Finale A"
"Natacha Delassus","K1D","121.01","223.15","277.07","Finale A"
"Marie Borlet","K1D","121.14","-","278.37","Finale A"
"Suzon Broute","K1D","121.72","147.07","284.13","Finale A"
"Zelie Wendling","K1D","124.91","282.18","315.85","Finale A"
"Tiphaine Drouin","K1D","126.05","285.53","327.19","Finale A"
"Alexane Galmiche","K1D","126.27","308.41","329.37","Finale A"
"Marie-amelie Jullien","K1D","126.86","331.03","335.23","Finale A"
"Raphaelle Hovine","K1D","129","262.4","356.51","Finale A"
"Emilie Delahaye","K1D","129.76","255.01","364.07","Finale A"
"Alicia Gallot","K1D","131.73","286.31","383.65","Finale A"
"Eva Dauvergne","K1D","132.26","291.36","388.92","Finale A"
"Fanny Mino-vercellio","K1D","134.79","270.85","414.08","Finale A"
"Elodie Delavelle","K1D","142.54","210.59","491.14","Finale A"
"Adele Charlaigre","K1D","146.42","309.4","529.71","Finale A"
"Lukas Werro","K1H","92.03","121.09","107.89","Finale A"
"Kendaor Le Huitou","K1H","93.02","125.17","119.01","Finale A"
"Benjamin Jacon","K1H","93.24","125.14","121.48","Finale A"
"Antoine Roux","K1H","93.6","121.43","125.53","Finale A"
"Julien Haberland","K1H","95.79","136.97","150.13","Finale A"
"Fabien Tournadre","K1H","96.07","127.64","153.28","Finale A"
"Christophe Augu","K1H","97.14","122.46","165.3","Finale A"
"Paul Cornut-chauvinc","K1H","97.17","179.53","165.64","Finale A"
"Pierre Marie Roussel","K1H","97.87","112.86","173.5","Finale A"
"Jerome Olhagaray","K1H","97.99","173.38","174.85","Finale A"
"Nicolas Caussanel","K1H","98.22","163.36","177.43","Finale A"
"Antoine Gaillard","K1H","98.23","155.2","177.55","Finale A"
"Benoit Chantry","K1H","98.44","125.53","179.91","Finale A"
"Laurent Starck","K1H","98.46","188.46","180.13","Finale A"
"Charles Edouard Dherment","K1H","98.91","151.15","185.19","Finale A"
"Theo Celjo","K1H","99.01","189.78","186.31","Finale A"
"Sebastien Nouvel","K1H","99.18","154.01","188.22","Finale A"
"Davy Egraz","K1H","99.51","141.05","191.93","Finale A"
"Loic Bertoia","K1H","99.63","180.15","193.28","Finale A"
"Johan De Mareuil","K1H","99.66","182.83","193.61","Finale A"
"Gregoire Guerin","K1H","99.68","166.05","193.84","Finale A"
"Vincent Ablin","K1H","99.83","136.84","195.52","Finale A"
"Florent Boulet","K1H","100.1","157.49","198.56","Finale A"
"Charlie Barbier","K1H","100.63","179.78","204.51","Finale A"
"Adrien Roussel","K1H","100.76","163.31","205.97","Finale A"
"Lucas Galmiche","K1H","100.91","202.25","207.66","Finale A"
"Matthieu Basset","K1H","101.27","194.48","211.7","Finale A"
"Mehdi Rouich","K1H","101.97","148.39","219.57","Finale A"
"Vincent Reiter","K1H","103.37","205.3","235.29","Finale A"
"Jean Philippe Winiarski","K1H","104.59","217.52","249","Finale A"
"Erwan Rouch","K1H","105.95","252.05","264.28","Finale A"
"Jules Guilbaud","K1H","106.36","191.19","268.89","Finale A"
"Baptiste Podor","K1H","107.15","231.8","277.76","Finale A"
"Adrien Maire","K1H","111.07","184.09","321.81","Finale A"
"Manuel Munsch","K1H","143.11","180.57","681.78","Finale A"
"Silvere Desongins","K1H","147.54","144.87","731.55","Finale A"
"Felix Jeanningros","K1H","150.24","166.64","761.88","Finale A"
"Robin Pilard","K1H","151.69","153.14","778.17","Finale A"
"Jonas Le Morvan","K1H","152.59","195.82","788.29","Finale A"
"Antonin Elne","K1H","155.67","160.73","822.89","Finale A"
"Edgar Prigent","K1H","551.48","169.42","5269.86","Finale A"
"Hind Jamili","C1D","144.05","381.77","427.61","Finale B"
"Romane Prigent","C1D","153.17","248.79","512.99","Finale B"
"Marion Delorme","C1D","155.57","367.81","535.46","Finale B"
"Emilie Lhomme","C1D","164.82","247.03","622.06","Finale B"
"Marine Schmitt","C1D","Abs","-","-","Finale B"
"Nathan Rene Corail","C1H","105.59","200.7","208.75","Finale B"
"Simon Werro","C1H","106.01","212.55","213.24","Finale B"
"Matthieu Le Gall","C1H","111.17","287.28","268.45","Finale B"
"Renaud Doby","C1H","111.26","164.25","269.42","Finale B"
"Philippe Thevenin","C1H","113.95","238.95","298.2","Finale B"
"Jan Pischek","C1H","116.68","250.21","327.41","Finale B"
"Jeancharles Reby","C1H","117","243.5","330.84","Finale B"
"Theo Lefetey","C1H","117.48","262.38","335.97","Finale B"
"Fabien Tournadre","C1H","118.17","221.99","343.35","Finale B"
"Nicolas Baudoin","C1H","118.99","278.97","352.13","Finale B"
"Xavier Sucker","C1H","123.47","199.72","400.06","Finale B"
"Guillaume Goury","C1H","123.91","284.03","404.78","Finale B"
"Theo Viens","C1H","127.32","271.42","441.26","Finale B"
"Romain Bertrand","C1H","Abs","-","-","Finale B"
"Thomas Janeriat","C1H","Abs","-","-","Finale B"
"Jerome Daille-Nil Georgel","C2H","121.16","321.64","316.41","Finale B"
"Benjamin Reig-Cyril Boulet","C2H","121.47","240.74","319.58","Finale B"
"Theo Roisin-Hugo Crepeau","C2H","123.14","328.77","336.64","Finale B"
"Axel Kournwsky-Adrien Maire","C2H","181.23","250.76","929.96","Finale B"
"Andrea Gratwohl","K1D","112.2","218.62","194.48","Finale B"
"Cecile Tixier","K1D","115.17","132.54","224","Finale B"
"Claire Landrin","K1D","116.41","152.58","236.34","Finale B"
"Anna Wider","K1D","117.92","299.28","251.35","Finale B"
"Axelle Armanini","K1D","123.47","273.39","306.53","Finale B"
"Mana Thomas","K1D","123.93","318.97","311.11","Finale B"
"Laura Rocher","K1D","125.17","189.95","323.43","Finale B"
"Alixe Degremont","K1D","125.64","300.45","328.11","Finale B"
"Lisa Robin","K1D","126.02","253.8","331.88","Finale B"
"Marion Delorme","K1D","127.97","306.59","351.28","Finale B"
"Carine Chapuis","K1D","128.26","289.39","354.15","Finale B"
"Astrid Coste","K1D","128.46","277.82","356.14","Finale B"
"Lucie Freyssinet","K1D","129.77","272.79","369.17","Finale B"
"Hind Jamili","K1D","131.4","270.38","385.37","Finale B"
"Elsa Cailhol","K1D","132","311.07","391.34","Finale B"
"Lucie Cecile","K1D","132.35","286.64","394.82","Finale B"
"Lea Martin","K1D","133.91","288.52","410.33","Finale B"
"Noa Bouchardon","K1D","135.14","273.84","422.56","Finale B"
"Angele Hug","K1D","137.7","299.86","448.01","Finale B"
"Violaine Truche","K1D","138.06","260.27","451.59","Finale B"
"Alice Lachaudru","K1D","138.44","242.32","455.37","Finale B"
"Armelle Canali","K1D","140.21","310.28","472.97","Finale B"
"Anais Boucher","K1D","147.24","336.64","542.87","Finale B"
"Morgane Foligne","K1D","157.33","269.73","643.19","Finale B"
"Athenais Reby","K1D","197.15","339.12","1039.1","Finale B"
"Stephanie Kaczmarek","K1D","Des","-","-","Finale B"
"Mylene Ferry","K1D","Nt","-","-","Finale B"
"Charlotte Lubineau","K1D","Nt","-","-","Finale B"
"Titouan Dupras","K1H","93.33","134.54","127.49","Finale B"
"Gurgen Brun","K1H","94.25","107.1","137.83","Finale B"
"Vincent Fondeviole","K1H","99.37","130.35","195.35","Finale B"
"David Mingasson","K1H","103.3","229.71","239.51","Finale B"
"Louis Midy","K1H","103.35","206.47","240.07","Finale B"
"Alexandre Lismonde","K1H","103.83","222.15","245.46","Finale B"
"Paul Commenges","K1H","104.23","246.37","249.96","Finale B"
"Hugo Simon","K1H","104.33","243.3","251.08","Finale B"
"Jean Baptiste Thiel","K1H","104.53","215.38","253.33","Finale B"
"Pierre De La Morinerie","K1H","104.63","215.87","254.45","Finale B"
"Romain Bertrand","K1H","105.35","172.05","262.54","Finale B"
"Florian Campagnole","K1H","105.39","155.92","262.99","Finale B"
"Hugo Crepeau","K1H","105.72","234.75","266.7","Finale B"
"Brieuc Cadic","K1H","105.84","210.4","268.05","Finale B"
"Vincent Gerdeaux","K1H","106.12","204.88","271.19","Finale B"
"Erwan Cadio","K1H","106.58","203.71","276.36","Finale B"
"Thibault Dufour","K1H","107.11","183.92","282.31","Finale B"
"Bryan Seiler","K1H","107.28","114.1","284.22","Finale B"
"Tom Barthelemy","K1H","107.68","249.52","288.72","Finale B"
"Fabien Lanao","K1H","107.83","182.44","290.4","Finale B"
"Mathieu Monier","K1H","108.74","207.87","300.63","Finale B"
"Ludovic Ngo","K1H","109.3","222.36","306.92","Finale B"
"Nicolas Mangeolle","K1H","109.76","210.68","312.09","Finale B"
"Olivier Cain","K1H","110.53","203.02","320.74","Finale B"
"Bastien Meslet","K1H","111.89","225.44","336.02","Finale B"
"Jacques Precigout","K1H","111.96","225.33","336.8","Finale B"
"Otello Willmann Rosso","K1H","112.28","231.76","340.4","Finale B"
"Emeric Vibert","K1H","112.77","275.11","345.9","Finale B"
"Alexis Caspar","K1H","112.87","241.97","347.03","Finale B"
"Julien Fougeron","K1H","113.32","264.77","352.08","Finale B"
"Axel Kournwsky","K1H","115.36","223.24","375","Finale B"
"Maxence Grandadam","K1H","115.66","222.93","378.37","Finale B"
"Mathieu Delorme","K1H","118.75","252.21","413.09","Finale B"
"Bertrand Avril","K1H","120.82","243.45","436.35","Finale B"
"Etienne Carpentier","K1H","152.7","212","794.52","Finale B"
"Arthur Favennec","K1H","153.92","238.81","808.23","Finale B"
"Leo Fournier","K1H","157.51","197.75","848.56","Finale B"
"Matthieu Le Gall","K1H","254.94","158.5","1943.2","Finale B"
"Corentin Douady","K1H","303.73","200.88","2491.36","Finale B"
"Arnaud Gallois","K1H","Dsq","-","-","Finale B"
