"Championnat Régional du Centre - Châteauneuf sur cher - 2010-01-31","Course 1","2010-01-31","Régional","149"
"Guillaume Arnaud","K1H","105.05","214","232",""
"Antoine Roux","K1H","105.27","183","234",""
"Nicolas Baudoin","K1H","106.11","214","244",""
"Simon Philibert","K1H","106.22","203","245",""
"Philippe Esnault","K1H","106.96","218","255",""
"Matthias Besse","K1H","108.27","231","269",""
"Remi Parayre","K1H","108.54","284","273",""
"Yoann Turowsky","K1H","109.02","230","278",""
"Marc Brossard","K1H","109.06","214","278",""
"Riwan Guillermic","K1H","109.11","-","279",""
"Damien Launay","K1H","109.43","209","283",""
"Mathieu Cheze","K1H","110.24","231","292",""
"Mathieu Charliac","K1H","110.81","297","298",""
"Jan Baudet","K1H","110.90","199","299",""
"Antoine Beaudoin","K1H","110.99","315","300",""
"Vincent Nicolosi","K1H","112.27","298","315",""
"Florian Fargier","K1H","112.27","370","315",""
"Alexandre Paulais","K1H","112.43","296","318",""
"Antoine Beguer","K1H","113.40","328","329",""
"Caryck Bouladjat","K1H","113.89","288","335",""
"Henri Despont","K1H","114.60","393","343",""
"Julien Guillerault","K1H","114.86","316","346",""
"Valentin Blondel","K1H","115.02","295","347",""
"Paul Jean","K1H","116.82","366","368",""
"Jordan Agullo","K1H","117.40","-","375",""
"Paul Laidet","K1H","117.40","-","375",""
"Jordy Pichot","K1H","119.01","-","394",""
"Jerome Boudin","K1H","119.06","342","395",""
"Camille Balsac","K1H","120.37","332","410",""
"Gaetan Leroux","K1H","120.76","339","414",""
"Sylvain Salinie","K1H","122.67","366","436",""
"Jean-noel Avril","K1H","122.71","-","436",""
"Leo Xiberras","K1H","123.07","398","440",""
"Nicolas Leconte","K1H","123.21","448","442",""
"Pierre Gueriot","K1H","124.60","-","459",""
"David Couture","K1H","127.23","360","489",""
"Gael David","K1H","128.06","518","498",""
"Adrien Picco","K1H","128.20","493","500",""
"Pascal Roy","K1H","131.36","-","537",""
"Gaetan Viallard","K1H","132.01","381","544",""
"Kevin Wos","K1H","133.61","652","563",""
"Paulin Cachanado","K1H","134.68","-","576",""
"Ludovic Couture","K1H","134.90","396","578",""
"Damien Dreux","K1H","134.91","-","578",""
"Julien Peynot","K1H","136.89","832","601",""
"Clement Auchat","K1H","137.59","1324","609",""
"Francois Meunier","K1H","138.34","576","618",""
"Raphael Cuillerdier","K1H","138.84","887","623",""
"Jeremy Bouchet","K1H","139.15","-","627",""
"Anthime Larousse","K1H","140.50","440","643",""
"Sylvain Georges","K1H","146.78","531","716",""
"Nicolas Boulesteix","K1H","146.84","-","717",""
"Christophe Cartault","K1H","148.41","679","734",""
"Florian Plault","K1H","153.02","828","788",""
"Nicolas Dangla","K1H","159.68","948","865",""
"Olivier Ranucci","K1H","188.82","399","1203",""
"Benjamin Tindiliere","K1H","196.30","-","1290",""
"Alain Beaulieu","K1H","222.88","-","1598",""
"Florent Verbeke","K1H","239.78","557","1794",""
"Nicolas Petipez","K1H","240.34","544","1800",""
"Paul Messialle","K1H","Nt","-","-",""
"Herve Gouard","K1H","Nt","-","-",""
"Guillaume Pitre","K1H","Nt","-","-",""
"Maxime Dejoux","K1H","Nt","-","-",""
"Jason Bauge","K1H","Nt","-","-",""
"Aymerik Granveau","K1H","Nt","-","-",""
"Guillaume Garuet-lempirou","K1H","Nt","-","-",""
"Martin Grezard","K1H","Nt","-","-",""
"Loic Bartolomeu","K1H","Nt","-","-",""
"Lucas Martin","K1H","Nt","-","-",""
"Emilien Redon","K1H","Nt","-","-",""
"Benjamin Theytaz","K1H","Nt","-","-",""
"Robin Gallier","K1H","Nt","-","-",""
"Paul Tallet Pinet","K1H","Nt","-","-",""
"Sylvain Saigne","K1H","Nt","-","-",""
"Clement Farret","K1H","Nt","-","-",""
"Yoann Avenel","K1H","Nt","-","-",""
"Benjamin Redon","K1H","Nt","-","-",""
"Olivier Mercier","K1H","Nt","-","-",""
"Claude Breuzard","K1H","Nt","-","-",""
"Yves Millet","K1H","Nt","-","-",""
"Nicolas Dupres","K1H","Nt","-","-",""
"Pierre Portais","K1H","Nt","-","-",""
"Jean Messialle","K1H","Nt","-","-",""
"Didier Niel","K1H","Nt","-","-",""
