"Championnat RÈgional de Slalom - 22300 Lannion - Finale - 2019-12-15","Finale","2019-12-15","RÈgional","200"
"Mewen Debliquy","K1H","96.25","218.63","181.78","Finale A"
"Matheo Lebaindre","K1H","96.32","147.17","182.65","Finale A"
"Anthony Drouhin","K1H","96.37","177.61","183.26","Finale A"
"Loan Queffelec","K1H","97.57","167.31","198.01","Finale A"
"Pol Euzenes","K1H","98.07","183.45","204.15","Finale A"
"Melaine Pichard","K1H","99.26","273.76","218.77","Finale A"
"Ewen Berrest","K1H","100.06","224.34","228.6","Finale A"
"Titouan Castryck","K1H","100.4","160.34","232.78","Finale A"
"Rafael Lerusse","K1H","101.14","262.86","241.87","Finale A"
"Clement Dubois","K1H","101.67","277.01","248.39","Finale A"
"Youn Aubry","K1H","101.69","311.78","248.63","Finale A"
"Martin Dubois","K1H","103.53","313.91","271.24","Finale A"
"Noe Gorvo","K1H","103.84","329.17","275.05","Finale A"
"Brice Derrien","K1H","103.95","320.02","276.4","Finale A"
"Julien Dosse","K1H","104.32","291.29","280.95","Finale A"
"Luc Hellard","K1H","104.69","204.42","285.5","Finale A"
"Nathan Flageul","K1H","104.76","262.87","286.36","Finale A"
"Jeanmichel Regnier","K1H","105.2","288.08","291.76","Finale A"
"Lorin Dumont","K1H","105.54","285.94","295.94","Finale A"
"Nicolas Mevel","K1H","105.91","191.16","300.49","Finale A"
"Eliott Reine","K1H","105.94","451.43","300.86","Finale A"
"Clement Olivier","K1H","105.99","310.63","301.47","Finale A"
"Martin Magras","K1H","106.1","441.11","302.82","Finale A"
"Riwal Le Berre","K1H","106.16","323.51","303.56","Finale A"
"Frederic Castryck","K1H","107.05","393.9","314.5","Finale A"
"Yannis Houze","K1H","107.7","330.95","322.48","Finale A"
"Romain Guyomard","K1H","107.92","282.71","325.19","Finale A"
"Dante Bourlet De La Vallee","K1H","108.94","373.43","337.72","Finale A"
"Nicolas Bidault","K1H","109.78","440.38","348.04","Finale A"
"Lionel Tinevez","K1H","110.13","378.79","352.34","Finale A"
"Mael Rogard","K1H","110.24","369.49","353.69","Finale A"
"Franck Delachair","K1H","110.68","310.78","359.1","Finale A"
"Oscar Donval","K1H","111.8","372.57","372.86","Finale A"
"Nicolas Le Belleguic","K1H","115.18","481.46","414.4","Finale A"
"Corentin Beaumois","K1H","115.24","430.19","415.13","Finale A"
"Alain Droniou","K1H","115.62","441.67","419.8","Finale A"
"Julien Caillarec","K1H","119.14","391.09","463.06","Finale A"
"Yann Curti","K1H","169.74","509.57","1084.83","Finale A"
"Samuel Le Dean","K1H","196.28","265.73","1410.96","Finale A"
"Gwenael Marquer","K1H","Abs","-","-","Finale A"
"Killian Flegeau","K1H","Dsq","-","-","Finale A"
"Clement Le Collinet","K1H","Abs","-","-","Finale A"
"Martin Cornu","K1HM","107.36","319.81","318.31","Finale A"
"Jonas Le Guen","K1HM","107.73","369.71","322.85","Finale A"
"Jules Brisson","K1HM","108.3","500","329.86","Finale A"
"Celio Chevallier","K1HM","123.77","536.92","519.95","Finale A"
"Mat…o Delachair","K1HM","125.86","610.62","545.63","Finale A"
"Damien Guilloux","K1HM","127.99","740.14","571.81","Finale A"
"Thomas Le Devehat","K1HM","130.21","831.26","599.09","Finale A"
"William Adeline","K1HM","131.17","686.44","610.88","Finale A"
"Elouan Debliquy","K1HM","159.95","351.59","964.53","Finale A"
"Milio Le Touze","K1HM","164.76","535.86","1023.64","Finale A"
"Iwen Robic","K1HM","181.92","774.13","1234.5","Finale A"
"Pacome Michel","K1HM","188.9","734.07","1320.27","Finale A"
"Louna Beurel","C1D","139.64","350.96","433.98","Finale B"
"Clara Grangeon","C1D","148.54","438.36","525.11","Finale B"
"Laurie Beaurepere","C1D","213.37","587.59","1188.97","Finale B"
"Arthur Mizzi","C1H","109.69","395.58","287.76","Finale B"
"Thomas Ollivo","C1H","111.23","450.68","305.77","Finale B"
"Jeremie Gouello","C1H","112.68","433.26","322.74","Finale B"
"Joris Hello","C1H","114.58","507.73","344.98","Finale B"
"Yvan Nicolas","C1H","115.37","447.04","354.22","Finale B"
"Lorin Dumont","C1H","116.03","397.75","361.95","Finale B"
"Morgan Vourch","C1H","118.94","447","396","Finale B"
"Philippe Quemerais","C1H","119.77","383.65","405.72","Finale B"
"Louis Beaumois","C1H","120.17","474.24","410.4","Finale B"
"Paul Gestin","C1H","120.59","505.41","415.32","Finale B"
"Riwal Le Berre","C1H","121.01","464.1","420.23","Finale B"
"Youn Aubry","C1H","121.81","503.12","429.6","Finale B"
"Nino Poisson","C1H","123.57","596.77","450.19","Finale B"
"Cedric Collet","C1H","126.25","550.21","481.55","Finale B"
"Roman Souffez","C1H","126.74","651.47","487.29","Finale B"
"Julien Rocaboy","C1H","131.21","486.68","539.6","Finale B"
"Yannis Houze","C1H","135.89","471.7","594.37","Finale B"
"Jules Roos","C1H","139.26","561.51","633.81","Finale B"
"Julien Caillarec","C1H","180.68","482.74","1118.54","Finale B"
"Jonas Le Guen","C1HM","130.85","689.34","535.38","Finale B"
"Nagwa Lanchec El Desouki","K1D","111.16","350.6","212.86","Finale B"
"Louna Beurel","K1D","127.12","379.89","386.42","Finale B"
"Frederique Piton","K1D","134.08","479.14","462.1","Finale B"
"Muriel Van Vliet","K1D","134.25","628","463.94","Finale B"
"Alexandra Rochard","K1D","135.21","534.58","474.39","Finale B"
"Bertille Nivet","K1D","142.37","636.46","552.24","Finale B"
"Elodie Morin - S…rot","K1D","156.04","565.31","700.9","Finale B"
"Gwendoline Hall","K1D","159.4","502.04","737.44","Finale B"
"Chlo… Jegoux","K1D","182.77","679.88","991.57","Finale B"
"Bleuenn Le Foll","K1D","200.54","793.53","1184.81","Finale B"
"Lilou Le Roux Divanac'h","K1D","208.42","651.99","1270.49","Finale B"
"Clara Perrot","K1DM","155.22","627.16","691.98","Finale B"
"Aurelie Hall","K1DM","258.01","951.32","1809.75","Finale B"
"Klara Lubin","K1DM","404.01","1016.8","3397.42","Finale B"
"Nicolas Coudert","K1H","101.99","292.57","257.32","Finale B"
"Elouan Le Fournis","K1H","104.88","412.67","292.83","Finale B"
"Marin Salmon","K1H","108.33","571.61","335.22","Finale B"
"Alan Olivo","K1H","108.6","416.29","338.54","Finale B"
"Dorian Ollivier","K1H","108.99","653.36","343.33","Finale B"
"Simon Seuru","K1H","109.04","436.33","343.95","Finale B"
"Gurvan Huet","K1H","109.62","339.81","351.08","Finale B"
"Cesar Le Berder","K1H","109.89","463.34","354.39","Finale B"
"Adrien Le Collinet","K1H","110.78","478.89","365.33","Finale B"
"Jules Roos","K1H","111.01","370.51","368.16","Finale B"
"Pierre-yves Lebreton","K1H","111.39","390.94","372.83","Finale B"
"Ylan Penvenne","K1H","111.39","384.15","372.83","Finale B"
"Adrien Brigant","K1H","111.56","509.64","374.91","Finale B"
"Juan Riu","K1H","113.66","535.72","400.72","Finale B"
"Glen Le Meur","K1H","114.69","400.24","413.38","Finale B"
"Adrien Pierre","K1H","114.86","427.12","415.47","Finale B"
"Vincent Donval","K1H","115.11","543.73","418.54","Finale B"
"Stephane Debliquy","K1H","115.13","425.42","418.78","Finale B"
"Antoine Aubert","K1H","115.32","561.26","421.12","Finale B"
"Alan Le Goff","K1H","115.61","478.56","424.68","Finale B"
"Valentin Rault","K1H","118.75","784.71","463.27","Finale B"
"Tanguy Rolland","K1H","119.71","721.58","475.06","Finale B"
"Clement Ezanno","K1H","119.82","488.51","476.41","Finale B"
"Valentin Rolland","K1H","120.02","811.04","478.87","Finale B"
"Romain Foulon","K1H","120.47","568.34","484.4","Finale B"
"Jean Yves Prigent","K1H","120.77","600.8","488.09","Finale B"
"Maxime Lignereux","K1H","124.21","587.47","530.36","Finale B"
"Loœg Massot","K1H","124.22","545.8","530.48","Finale B"
"Logan Toubel","K1H","126","570.96","552.35","Finale B"
"Mael Calvez","K1H","127.06","626.86","565.38","Finale B"
"Florian Szabo","K1H","127.23","632.37","567.47","Finale B"
"Riwal Ollivier","K1H","128.07","608.58","577.79","Finale B"
"Riwan Le Roy","K1H","128.1","806.91","578.16","Finale B"
"Victor Robert","K1H","128.17","571.5","579.02","Finale B"
"Samuel Piton","K1H","128.52","706.01","583.32","Finale B"
"Julien Pommerol","K1H","129.87","702.34","599.91","Finale B"
"Ethan Robert","K1H","133.21","1070.84","640.95","Finale B"
"Riwal Bourdoulous","K1H","136.61","728.29","682.73","Finale B"
"Victor Perebaskine","K1H","136.92","917.29","686.54","Finale B"
"Ambroise Perier","K1H","138.83","845.25","710.01","Finale B"
"Jean Christophe Olivo","K1H","153.32","904","888.06","Finale B"
"Robinson Le Maillot","K1H","169.96","2071.13","1092.54","Finale B"
"Sylvain Premel","K1H","174.08","655.21","1143.16","Finale B"
"Mathis Poree","K1H","188.86","575.82","1324.78","Finale B"
"Mael Crespel","K1H","191.1","827.72","1352.31","Finale B"
"Mael Maugain","K1H","208.7","1069.59","1568.58","Finale B"
"Aurelien Le Duc","K1H","Abs","-","-","Finale B"
"Ronan Nedelec","K1H","Nt","-","-","Finale B"
"Maxence Quillere","K1HM","137.13","892.4","689.12","Finale B"
"Victor Julou","K1HM","137.68","757.1","695.88","Finale B"
"Timoth… Le Beuvant","K1HM","143.87","899.57","771.94","Finale B"
"Simon Le Nevez","K1HM","147.48","934.75","816.3","Finale B"
"Clement Le Naour","K1HM","152.84","816.26","882.17","Finale B"
"Florian Manceau","K1HM","157.94","1005.94","944.83","Finale B"
"Noe Bourges","K1HM","189.51","1231.86","1332.77","Finale B"
"Lorenzo Caucheteux","K1HM","201.07","888.28","1474.82","Finale B"
"Loan Beaucourt","K1HM","338.04","1199.28","3157.91","Finale B"
"Titouan Briand","K1HM","Abd","-","-","Finale B"
"Raphael Herve","K1HM","Nt","-","-","Finale B"
